A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,,,,,,
1,3 5 5 V,0.57746424118147,,,,,,159.2855966428306,23,2.283292169286346e-22,,,,,,,,,,,,,,,,,,
2,3 20 5 V,0.113418636608164,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,,,,,,
3,3 5 20 V,0.749559589915017,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3 20 20 V,0.112481237499809,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,,,,,,
5,5 5 5 V,0.283811993973618,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,,,,,,
6,5 20 5 V,0.725036007776447,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5 5 20 V,0.0171126395498999,,,,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
8,5 20 20 V,0.52846204429032,,,3 20 5 V,0.07998138681781493,,,,,,,,,,,,,,,,,,,,,,
9,7 5 5 V,0.186563221774874,,,3 5 20 V,1,1,,,,,,,,,,,,,,,,,,,,,
10,7 20 5 V,0.48543226580856,,,3 20 20 V,1,1,1,,,,,,,,,,,,,,,,,,,,
11,7 5 20 V,0.373305234349493,,,5 5 5 V,2.0164560878645118e-08,1,0.0043051223233708845,0.026633548244318284,,,,,,,,,,,,,,,,,,,
12,7 20 20 V,0.902491744296043,,,5 20 5 V,0.002406835541957082,1,1,1,1,,,,,,,,,,,,,,,,,,
13,3 5 5 S,0.624036120746463,,,5 5 20 V,1.2877149751921871e-07,1,0.015019891398064299,0.08291143165773462,1,1,,,,,,,,,,,,,,,,,
14,3 20 5 S,0.110146444917068,,,5 20 20 V,1,1,1,1,5.872986593016036e-05,0.498717930507472,0.00025980691508903326,,,,,,,,,,,,,,,,
15,3 5 20 S,0.0966021445323812,,,7 5 5 V,5.604712401387528e-07,1,0.03974937839268471,0.19982275234130226,1,1,1,0.0008357795000649303,,,,,,,,,,,,,,,
16,3 20 20 S,0.885460773902961,,,7 20 5 V,0.0002614546134481373,1,1,1,1,1,1,0.09635023184846128,1,,,,,,,,,,,,,,
17,5 5 5 S,0.989289417529774,,,7 5 20 V,5.17226320319981e-07,1,0.037709051119069234,0.1905513115617578,1,1,1,0.0007843419451832299,1,1,,,,,,,,,,,,,
18,5 20 5 S,0.247943093669375,,,7 20 20 V,1,1,1,1,0.048996923037472453,1,0.14648411864482552,1,0.3415198327126944,1,0.3262727906012896,,,,,,,,,,,,
19,5 5 20 S,0.0882196389898131,,,3 5 5 S,1,1,1,1,0.010307937358881018,1,0.03409272557238529,1,0.08635356226625292,1,0.08212040829059489,1,,,,,,,,,,,
20,5 20 20 S,0.810804192067002,,,3 20 5 S,0.00014760553575075074,1,1,1,1,1,1,0.06263972461828506,1,1,1,1,1,,,,,,,,,,
21,7 5 5 S,0.0430267613034308,,,3 5 20 S,5.138592857455841e-05,1,0.7012142694222908,1,1,1,1,0.02810420695016265,1,1,1,1,1,1,,,,,,,,,
22,7 20 5 S,0.0989025863615927,,,3 20 20 S,0.11339251594286026,1,1,1,0.7924084467990212,1,1,1,1,1,1,1,1,1,1,,,,,,,,
23,7 5 20 S,0.126832046992667,,,5 5 5 S,1,1,1,1,0.001633805189453599,1,0.006034222609733263,1,0.0167344771154628,0.9745341146652716,0.01583435863033065,1,1,0.6785730430748729,0.3444976033095802,1,,,,,,,
