A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,,,,,,
1,3 5 5 V,0.157431513596342,,,,,,368.6623189518014,23,4.837017597545958e-64,,,,,,,,,,,,,,,,,,
2,3 20 5 V,0.133582387562839,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,,,,,,
3,3 5 20 V,0.0218886198317585,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3 20 20 V,0.143681759797067,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,,,,,,
5,5 5 5 V,0.00755386957166767,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,,,,,,
6,5 20 5 V,0.0106041531694873,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5 5 20 V,0.0257715281300837,,,,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
8,5 20 20 V,0.524549120373192,,,3 20 5 V,0.0015760337922076453,,,,,,,,,,,,,,,,,,,,,,
9,7 5 5 V,0.0549232361620433,,,3 5 20 V,0.05813976218498162,1,,,,,,,,,,,,,,,,,,,,,
10,7 20 5 V,0.0354314655127543,,,3 20 20 V,0.03207901650975428,1,1,,,,,,,,,,,,,,,,,,,,
11,7 5 20 V,0.0086819511306457,,,5 5 5 V,0.001088484452583091,1,1,1,,,,,,,,,,,,,,,,,,,
12,7 20 20 V,0.201224583788968,,,5 20 5 V,0.00085641141621173,1,1,1,1,,,,,,,,,,,,,,,,,,
13,3 5 5 S,0.0732954973055371,,,5 5 20 V,1.4648816813640228e-07,1,1,1,1,1,,,,,,,,,,,,,,,,,
14,3 20 5 S,0.034399867737013,,,5 20 20 V,1,4.632219737066298e-07,5.64207654755624e-05,2.5186253944381967e-05,2.860395767435855e-07,2.0949141979762172e-07,3.781595479726067e-12,,,,,,,,,,,,,,,,
15,3 5 20 S,0.00378857096498771,,,7 5 5 V,1.654265267999684e-07,1,1,1,1,1,1,4.3916057713596146e-12,,,,,,,,,,,,,,,
16,3 20 20 S,0.00168246045039599,,,7 20 5 V,0.12360866071743333,1,1,1,1,1,1,0.0001586180603324714,1,,,,,,,,,,,,,,
17,5 5 5 S,0.00103941877513114,,,7 5 20 V,1.1905773896071785e-09,1,0.35304701508014097,0.5857663349117412,1,1,1,1.0762290278079803e-14,1,0.17516415360156146,,,,,,,,,,,,,
18,5 20 5 S,0.000790131602267145,,,7 20 20 V,1,4.50885982479392e-10,1.2735555290235154e-07,4.89565351982723e-08,2.5736114195806233e-10,1.792352870941847e-10,6.693351608474432e-16,1,7.926594631307325e-16,4.3616671232477404e-07,9.148062849367842e-19,,,,,,,,,,,,
19,5 5 20 S,0.0008271871936391,,,3 5 5 S,1,1,1,1,1,1,0.00641235654894261,0.14482743605236695,0.006980610142334547,1,0.00020685400806461738,0.0018386397900197428,,,,,,,,,,,
20,5 20 20 S,0.0503612921853091,,,3 20 5 S,1.1490837889169005e-09,1,0.34691466517039543,0.5759913004526647,1,1,1,1.031105063688643e-14,1,0.17196294865874098,1,8.719562494213862e-19,0.00020158721337088022,,,,,,,,,,
21,7 5 5 S,0.0716856994868874,,,3 5 20 S,4.2999349270549475e-10,1,0.2125329035057863,0.35967216366808424,1,1,1,3.1528524457407624e-15,1,0.10271394306405324,1,2.3154000593738236e-19,9.840301135989138e-05,1,,,,,,,,,
22,7 20 5 S,0.0025567923436868,,,3 20 20 S,1.0027996334962249e-07,1,1,1,1,1,1,2.3738198447523666e-12,1,1,1,3.954516304666457e-16,0.004918093347138812,1,1,,,,,,,,
23,7 5 20 S,0.0131351173325488,,,5 5 5 S,1,1,1,1,1,1,0.14963354181668392,0.00616651988530116,0.1606229929724452,1,0.008195924359873038,3.633927364786193e-05,1,0.008017080081159875,0.004335436814080534,0.1198709118687105,,,,,,,
24,7 20 20 S,0.11414383681639,,,5 20 5 S,0.00196191374127547,1,1,1,1,1,1,6.166205210497594e-07,1,1,1,6.291541638665255e-10,1,1,1,1,1,,,,,,
,,,,,5 5 20 S,5.434040894707715e-08,1,1,1,1,1,1,1.1199318004013444e-12,1,1,1,1.6934262422638465e-16,0.003196324822208535,1,1,1,0.0835263002201577,1,,,,,
