A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,
1,GP,0.000401957611038515,,,,,,348.6810373454983,18,4.273829565330382e-63,,,,,,,,,,,,,
2,GA  5  Sum,3.19928380461844e-07,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,
3,GA  5  Vote,0.0155495781429201,,,,,,,,,,,,,,,,,,,,,
4,GA  7  Sum,1.01385265490544e-05,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,
5,GA  7  Vote,0.0528529713743957,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.624036120746463,,,,,,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.57746424118147,,,,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
8,MGA  5  Sum ,0.989289417529774,,,GA  3  Sum,0.6801998662958384,,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.283811993973618,,,GA  3  Vote,1,0.00026449435958740276,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.0430267613034308,,,GA  5  Sum,1,1,0.3670969789037736,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.186563221774874,,,GA  5  Vote,5.94146588998773e-07,0.4216248298873441,8.170158694750616e-13,0.0003253732474852066,,,,,,,,,,,,,,
12,SEC  3  Sum,9.33319981663892e-07,,,GA  7  Sum,0.2402857999202924,1,5.25898248791989e-05,1,1,,,,,,,,,,,,,
13,SEC  5  Sum,0.0048449628842657,,,GA  7  Vote,2.818138240089637e-13,6.273293370868168e-05,7.827664580055895e-21,1.5421657125623117e-09,1,0.00031233175057142023,,,,,,,,,,,,
14,SEC  5  Vote,0.000678748359862641,,,MGA  3  Sum ,2.8049603675648377e-07,0.27918365324024386,3.0604754010576487e-13,0.00017599559849123107,1,0.7803311033273299,1,,,,,,,,,,,
15,SEC  7  Sum,0.176128611818963,,,MGA  3  Vote,0.029047244646704627,1,2.2336462203635377e-06,1,1,1,0.004459638824362302,1,,,,,,,,,,
16,SEC  7  Vote,0.0496445548013249,,,MGA  5  Sum ,6.201624251694915e-07,0.43158866334294593,8.642453300673808e-13,0.000336966657025415,1,1,1,1,1,,,,,,,,,
,,,,,MGA  5  Vote ,7.570202319316271e-14,2.6529089541115905e-05,1.5479818271246379e-21,4.965210608261521e-10,1,0.00013869264103709251,1,1,0.0021618796971261556,1,,,,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,MGA  7  Sum,0.00013268694112792233,1,1.1250991276322441e-09,0.02500766358287821,1,1,0.4265801328628578,1,1,1,0.24757359325716213,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,MGA  7  Vote ,3.1192503873520146e-13,6.702080160904526e-05,8.873588913674612e-21,1.6829907884156973e-09,1,0.00033241171831779404,1,1,0.0047140077249184075,1,1,0.4446335844536323,,,,,,
,,,,,SEC  3  Sum,1,1,0.03663937723064308,1,0.006174974248249641,1,1.0358792353864019e-07,0.0035982460589670385,1,0.0063676102149142775,3.6848704815957816e-08,0.2652583532097854,1.1217122838364907e-07,,,,,
A Bartlett test is performed to assess the homogeneity of variances among the groups.,,,,,SEC  3  Vote,1,0.00026449435958740276,1,0.3670969789037736,8.170158694750616e-13,5.25898248791989e-05,7.827664580055895e-21,3.0604754010576487e-13,2.2336462203635377e-06,8.642453300673808e-13,1.5479818271246379e-21,1.1250991276322441e-09,8.873588913674612e-21,0.03663937723064308,,,,
Bartlett test,,K-squared,df,p-value,SEC  5  Sum,1,1,0.4979414306455956,1,0.00020509310589399978,1,8.07924394289892e-10,0.00010973147414355967,1,0.0002125344751197227,2.563586294423079e-10,0.017168794208026566,8.82704232066429e-10,1,0.4979414306455956,,,
,,Inf,18,0,SEC  5  Vote,0.4724182237689666,1,0.0001493881534037434,1,0.6092705126236381,1,0.00011311858600660199,0.4086670883753965,1,0.6232063704654922,4.868717314024331e-05,1,0.00012068441050723028,1,0.0001493881534037434,1,,
"The homoscedasticity assumption was strongly rejected (Bartlett’s test, p < 2.2 × 10⁻¹⁶).",,,,,SEC  7  Sum,1,1,0.8828480342620011,1,8.131550698380795e-05,1,2.2311530837746232e-10,4.258741269629153e-05,0.6617972266588835,8.436964983827701e-05,6.880754406444233e-11,0.008045846682685731,2.443087205394102e-10,1,0.8828480342620011,1,1,
,,,,,SEC  7  Vote,0.037268082404861166,1,3.2196310478270245e-06,1,1,1,0.0033718073808571693,1,1,1,0.0016187731621630317,1,0.0035668215164231794,1,3.2196310478270245e-06,1,1,0.8066242171355049
Test,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,
1,GP,0.000127026474173071,,,,,,269.747581394132,18,7.678923122264157e-47,,,,,,,,,,,,,
2,GA  5  Sum,2.17850550483996e-07,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,
3,GA  5  Vote,0.00332121094533046,,,,,,,,,,,,,,,,,,,,,
4,GA  7  Sum,0.000278743850622244,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,
5,GA  7  Vote,0.00430981082817652,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.259924877205368,,,,,,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.565813119359333,,,,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
8,MGA  5  Sum ,0.088589938545655,,,GA  3  Sum,0.0002915463167033453,,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.986775629210718,,,GA  3  Vote,1,4.027846339766188e-07,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.048490125655943,,,GA  5  Sum,1,0.750022586365162,0.3069454629178905,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.570420860916962,,,GA  5  Vote,1.6359144291664462e-09,1,2.1541076877047608e-13,0.000184873124416048,,,,,,,,,,,,,,
