A Shapiro test is performed to check whether the samples follow a normal distribution.,Column_2,Column_3,Column_4,Column_5,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,
1,GP,0.630397312633075,,,,,,520.4485441041161,18,5.20958635973386e-99,,,,,,,,,,,,,
2,GA  5  Sum,1.82317436358909e-07,,,The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,
3,GA  5  Vote,0.000263035048273261,,,,,,,,,,,,,,,,,,,,,
4,GA  7  Sum,2.08391034092576e-05,,,Kruskal post-hoc,,,,,,,,,,,,,,,,,,
5,GA  7  Vote,4.81923622019778e-06,,, Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.0732954973055371,,,,,,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.157431513596342,,,,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
8,MGA  5  Sum ,0.00103941877513114,,,GA  3  Sum,0.0008928542377862892,,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.00755386957166767,,,GA  3  Vote,1,1,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.0716856994868874,,,GA  5  Sum,1.237469006414765e-10,1,5.019008258074851e-05,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.0549232361620433,,,GA  5  Vote,3.185580403906811e-11,0.8668635554019442,1.864713025267314e-05,1,,,,,,,,,,,,,,
12,SEC  5  Sum,2.39312705763189e-09,,,GA  7  Sum,1.1427649378589402e-11,0.5643940767657353,8.777673542841729e-06,1,1,,,,,,,,,,,,,
13,SEC  5  Vote,0.00157497457088589,,,GA  7  Vote,4.703411853915975e-27,4.110256666714727e-09,6.875492983637696e-18,0.008393858555510458,0.018118045530156383,0.031359398211516426,,,,,,,,,,,,
14,SEC  7  Sum,0.0145280504251432,,,MGA  3  Sum ,4.117313326291987e-21,1.1464805056999487e-05,4.4983896160915605e-13,0.9303481430356021,1,1,1,,,,,,,,,,,
15,SEC  7  Vote,0.0848210566962989,,,MGA  3  Vote,6.987657945983255e-16,0.006459909001205957,5.777664104127619e-09,1,1,1,1,1,,,,,,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,MGA  5  Sum ,3.4795329626220645e-23,7.767669051211155e-07,9.72882474612839e-15,0.20160136434985496,0.3778193676762713,0.5892941999279713,1,1,1,,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,MGA  5  Vote ,1.0251226492546982e-26,6.56700240287813e-09,1.3027598283480458e-17,0.011255125426473393,0.0240030307357004,0.041177783456467804,1,1,1,1,,,,,,,,
,,,,,MGA  7  Sum,4.2726289562812075e-20,4.145534969955642e-05,2.8994906757596577e-12,1,1,1,1,1,1,1,1,,,,,,,
A Bartlett test is performed to assess the homogeneity of variances among the groups.,,,,,MGA  7  Vote ,6.581724311855322e-30,7.368303644355832e-11,3.036820932191685e-20,0.0006365945360924118,0.001517750211043225,0.0028269567374530975,1,1,0.3042379209058877,1,1,1,,,,,,
Bartlett test,,K-squared,df,p-value,SEC  3  Sum,0.0008928542377862892,1,1,1,0.8668635554019442,0.5643940767657353,4.110256666714727e-09,1.1464805056999487e-05,0.006459909001205957,7.767669051211155e-07,6.56700240287813e-09,4.145534969955642e-05,7.368303644355832e-11,,,,,
,,Inf,18,0,SEC  3  Vote,1,1,1,5.019008258074851e-05,1.864713025267314e-05,8.777673542841729e-06,6.875492983637696e-18,4.4983896160915605e-13,5.777664104127619e-09,9.72882474612839e-15,1.3027598283480458e-17,2.8994906757596577e-12,3.036820932191685e-20,1,,,,
"The homoscedasticity assumption was strongly rejected (Bartlett’s test, p < 2.2 × 10⁻¹⁶).",,,,,SEC  5  Sum,0.00024751080264737423,1,0.955506199163118,1,1,1,2.3850953442444654e-08,4.792836630616661e-05,0.01954842445992574,3.655892249554227e-06,3.743640043972995e-08,0.0001632238266763041,4.947399886057588e-10,1,0.955506199163118,,,
,,,,,SEC  5  Vote,0.5043329591874794,1,1,0.00452578098694982,0.0019805262952784786,0.0010525547302309014,2.4527183844643957e-14,4.989255079707943e-10,2.0083717575502792e-06,1.647246771876695e-11,4.3631867670626784e-14,2.595632875608682e-09,1.8189280907932965e-16,1,1,1,,
,,,,,SEC  7  Sum,0.6097756485598232,1,1,0.0034850628558479742,0.0015094226679808513,0.00079606335150277,1.496404559560461e-14,3.277926602718684e-10,1.420105438894838e-06,1.0536068129023564e-11,2.6726544619087585e-14,1.7286342590016077e-09,1.0738533631305823e-16,1,1,1,1,
,,,,,SEC  7  Vote,1,0.24672082080315427,1,1.0997163138753035e-06,3.620667478385862e-07,1.5583879717840097e-07,1.008724170690945e-20,1.5551915187464494e-15,4.6845950112454306e-11,2.465742727457988e-17,2.00184877569459e-20,1.1731944414403853e-14,3.046934795821488e-23,0.24672082080315427,1,0.09635302082560214,1,1
Test,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,, Kruskal-Wallis test,,,χ²,df,p-value,,,,,,,,,,,,,
1,GP,0.495929754128568,,,,,,230.014379290608,18,9.210987331004169e-39,,,,,,,,,,,,,
