Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
1,3 5 5 V,0.57746424118147,,,,,,,,,,,,,,,,,,,,,
2,3 20 5 V,0.113418636608164,,,,,,,,,,,,,,,,,,,,,
3,3 5 20 V,0.749559589915017,,,,,,,,,,,,,,,,,,,,,
4,3 20 20 V,0.112481237499809,,,,,,,,,,,,,,,,,,,,,
5,5 5 5 V,0.283811993973618,,,,,,,,,,,,,,,,,,,,,
6,5 20 5 V,0.725036007776447,,,,,,,,,,,,,,,,,,,,,
7,5 5 20 V,0.0171126395498999,,,,,,,,,,,,,,,,,,,,,
8,5 20 20 V,0.52846204429032,,,,,,,,,,,,,,,,,,,,,
9,7 5 5 V,0.186563221774874,,,,,,,,,,,,,,,,,,,,,
10,7 20 5 V,0.48543226580856,,,,,,,,,,,,,,,,,,,,,
11,7 5 20 V,0.373305234349493,,,,,,,,,,,,,,,,,,,,,
12,7 20 20 V,0.902491744296043,,,,,,,,,,,,,,,,,,,,,
13,3 5 5 S,0.624036120746463,,,,,,,,,,,,,,,,,,,,,
14,3 20 5 S,0.110146444917068,,,,,,,,,,,,,,,,,,,,,
15,3 5 20 S,0.0966021445323812,,,,,,,,,,,,,,,,,,,,,
16,3 20 20 S,0.885460773902961,,,,,,,,,,,,,,,,,,,,,
17,5 5 5 S,0.989289417529774,,,,,,,,,,,,,,,,,,,,,
18,5 20 5 S,0.247943093669375,,,,,,,,,,,,,,,,,,,,,
19,5 5 20 S,0.0882196389898131,,,,,,,,,,,,,,,,,,,,,
20,5 20 20 S,0.810804192067002,,,,,,,,,,,,,,,,,,,,,
21,7 5 5 S,0.0430267613034308,,,,,,,,,,,,,,,,,,,,,
22,7 20 5 S,0.0989025863615927,,,,,,,,,,,,,,,,,,,,,
23,7 5 20 S,0.126832046992667,,,,,,,,,,,,,,,,,,,,,
24,7 20 20 S,0.523980806208418,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,,,,,,,,,,,,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Homogeneity_of_Variance among the groups.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Method,Statistic,Df,p.value,,,,,,,,,,,,,,,,,,,,
Levene,3.9275994677102832,23,3.0603496957073e-9,,,,,,,,,,,,,,,,,,,,
Fligner-Killeen,78.4215177602212,23,5.708542359962328e-8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
The homoscedasticity assumption was strongly rejected,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,,,,,,
 Kruskal-Wallis test,,,χ²,df,p-value,ε²,,,,,,,,,,,,,,,,,
,,,159.2855966428306,23,2.283292169286346e-22,0.19581263885464167,,"The magnitude of ε² was interpreted according to commonly used thresholds: small (0.01 ≤ ε² < 0.08), medium (0.08 ≤ ε² < 0.26), and large (ε² ≥ 0.26).",,,,,,,,,,,,,,,
The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,,,,,,
"The effect size (ε²) was moderate, indicating that the observed differences among groups are meaningful and may have practical relevance.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Kruskal post-hoc,,,,,,,,,,,,,,,,,,,,,,,
 Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S
3 20 5 V,0.07998138681781493,,,,,,,,,,,,,,,,,,,,,,
3 5 20 V,1,1,,,,,,,,,,,,,,,,,,,,,
3 20 20 V,1,1,1,,,,,,,,,,,,,,,,,,,,
5 5 5 V,2.0164560878645118e-8,1,0.0043051223233708845,0.026633548244318284,,,,,,,,,,,,,,,,,,,
5 20 5 V,0.002406835541957082,1,1,1,1,,,,,,,,,,,,,,,,,,
5 5 20 V,1.2877149751921871e-7,1,0.015019891398064299,0.08291143165773462,1,1,,,,,,,,,,,,,,,,,
5 20 20 V,1,1,1,1,0.00005872986593016036,0.498717930507472,0.00025980691508903326,,,,,,,,,,,,,,,,
7 5 5 V,5.604712401387528e-7,1,0.03974937839268471,0.19982275234130226,1,1,1,0.0008357795000649303,,,,,,,,,,,,,,,
7 20 5 V,0.0002614546134481373,1,1,1,1,1,1,0.09635023184846128,1,,,,,,,,,,,,,,
7 5 20 V,5.17226320319981e-7,1,0.037709051119069234,0.1905513115617578,1,1,1,0.0007843419451832299,1,1,,,,,,,,,,,,,
7 20 20 V,1,1,1,1,0.048996923037472453,1,0.14648411864482552,1,0.3415198327126944,1,0.3262727906012896,,,,,,,,,,,,
3 5 5 S,1,1,1,1,0.010307937358881018,1,0.03409272557238529,1,0.08635356226625292,1,0.08212040829059489,1,,,,,,,,,,,
3 20 5 S,0.00014760553575075074,1,1,1,1,1,1,0.06263972461828506,1,1,1,1,1,,,,,,,,,,
3 5 20 S,0.00005138592857455841,1,0.7012142694222908,1,1,1,1,0.02810420695016265,1,1,1,1,1,1,,,,,,,,,
3 20 20 S,0.11339251594286026,1,1,1,0.7924084467990212,1,1,1,1,1,1,1,1,1,1,,,,,,,,
5 5 5 S,1,1,1,1,0.001633805189453599,1,0.006034222609733263,1,0.0167344771154628,0.9745341146652716,0.01583435863033065,1,1,0.6785730430748729,0.3444976033095802,1,,,,,,,
5 20 5 S,0.2861069062244963,1,1,1,0.33709772065046817,1,0.8782997678509151,1,1,1,1,1,1,1,1,1,1,,,,,,
5 5 20 S,0.008389360340746693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
5 20 20 S,1,1,1,1,0.001891404300019877,1,0.006926752058098739,1,0.019076541262252153,1,0.01805740988199473,1,1,0.7516376836543395,0.38379848400487415,1,1,1,1,,,,
7 5 5 S,1,1,1,1,0.0000033331967312616157,0.07789464642838713,0.000016976452528128567,1,0.00006132787932037478,0.012077332285536398,0.00005718430006975413,1,1,0.007439157606059442,0.0030288496796682775,1,1,1,0.21914344633577867,1,,,
7 20 5 S,1,1,1,1,0.00003248269893033366,0.34226203874204897,0.00014808264448549767,1,0.0004883065480982951,0.06309947893785112,0.00045762528436556075,1,1,0.040553645933438104,0.017822470492834547,1,1,1,0.8677720452236537,1,1,,
7 5 20 S,1,1,1,1,0.00441543092800681,1,0.015381364027799896,1,0.04065524996496861,1,0.038571091575236346,1,1,1,0.7142515528938398,1,1,1,1,1,1,1,
7 20 20 S,1,1,1,1,0.0008639991110971171,1,0.003308918178570434,1,0.009454186886013096,0.6313595010597174,0.00893088681506733,1,1,0.4336221877045067,0.21475945936482196,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Cliff's Delta: Pairwise effect sizes quantifying the magnitude of significant differences.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
