Ablation study,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
Number of Vehicles,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,,,,,,
1,3 5 5 V,0.157431513596342,,,,,,,,,,,,,,,,,,,,,
2,3 20 5 V,0.133582387562839,,,,,,,,,,,,,,,,,,,,,
3,3 5 20 V,0.0218886198317585,,,,,,,,,,,,,,,,,,,,,
4,3 20 20 V,0.143681759797067,,,,,,,,,,,,,,,,,,,,,
5,5 5 5 V,0.00755386957166767,,,,,,,,,,,,,,,,,,,,,
6,5 20 5 V,0.0106041531694873,,,,,,,,,,,,,,,,,,,,,
7,5 5 20 V,0.0257715281300837,,,,,,,,,,,,,,,,,,,,,
8,5 20 20 V,0.524549120373192,,,,,,,,,,,,,,,,,,,,,
9,7 5 5 V,0.0549232361620433,,,,,,,,,,,,,,,,,,,,,
10,7 20 5 V,0.0354314655127543,,,,,,,,,,,,,,,,,,,,,
11,7 5 20 V,0.0086819511306457,,,,,,,,,,,,,,,,,,,,,
12,7 20 20 V,0.201224583788968,,,,,,,,,,,,,,,,,,,,,
13,3 5 5 S,0.0732954973055371,,,,,,,,,,,,,,,,,,,,,
14,3 20 5 S,0.034399867737013,,,,,,,,,,,,,,,,,,,,,
15,3 5 20 S,0.00378857096498771,,,,,,,,,,,,,,,,,,,,,
16,3 20 20 S,0.00168246045039599,,,,,,,,,,,,,,,,,,,,,
17,5 5 5 S,0.00103941877513114,,,,,,,,,,,,,,,,,,,,,
18,5 20 5 S,0.000790131602267145,,,,,,,,,,,,,,,,,,,,,
19,5 5 20 S,0.0008271871936391,,,,,,,,,,,,,,,,,,,,,
20,5 20 20 S,0.0503612921853091,,,,,,,,,,,,,,,,,,,,,
21,7 5 5 S,0.0716856994868874,,,,,,,,,,,,,,,,,,,,,
22,7 20 5 S,0.0025567923436868,,,,,,,,,,,,,,,,,,,,,
23,7 5 20 S,0.0131351173325488,,,,,,,,,,,,,,,,,,,,,
24,7 20 20 S,0.11414383681639,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,,,,,,,,,,,,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Homogeneity_of_Variance among the groups.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Method,Statistic,Df,p.value,,,,,,,,,,,,,,,,,,,,
Levene,3.9766684558954326,23,2.077703600652208e-9,,,,,,,,,,,,,,,,,,,,
Fligner-Killeen,80.36950003193265,23,2.7662465070667217e-8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
The homoscedasticity assumption was strongly rejected,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,,,,,,
 Kruskal-Wallis test,,,χ²,df,p-value,ε²,,,,,,,,,,,,,,,,,
