Energy Consumption,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,,,,,,,,,,,,,,,,,,
Training,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
A Shapiro test is performed to check whether the samples follow a normal distribution.,,,,,,,,,,,,,,,,,,
,Method,Shapiro p-value,,,,,,,,,,,,,,,,
1,GP,0.000401957611038515,,,,,,,,,,,,,,,,
2,GA  5  Sum,3.19928380461844e-7,,,,,,,,,,,,,,,,
3,GA  5  Vote,0.0155495781429201,,,,,,,,,,,,,,,,
4,GA  7  Sum,0.0000101385265490544,,,,,,,,,,,,,,,,
5,GA  7  Vote,0.0528529713743957,,,,,,,,,,,,,,,,
6,MGA  3  Sum ,0.624036120746463,,,,,,,,,,,,,,,,
7,MGA  3  Vote,0.57746424118147,,,,,,,,,,,,,,,,
8,MGA  5  Sum ,0.989289417529774,,,,,,,,,,,,,,,,
9,MGA  5  Vote ,0.283811993973618,,,,,,,,,,,,,,,,
10,MGA  7  Sum,0.0430267613034308,,,,,,,,,,,,,,,,
11,MGA  7  Vote ,0.186563221774874,,,,,,,,,,,,,,,,
12,SEC  3  Sum,9.33319981663892e-7,,,,,,,,,,,,,,,,
13,SEC  5  Sum,0.0048449628842657,,,,,,,,,,,,,,,,
14,SEC  5  Vote,0.000678748359862641,,,,,,,,,,,,,,,,
15,SEC  7  Sum,0.176128611818963,,,,,,,,,,,,,,,,
16,SEC  7  Vote,0.0496445548013249,,,,,,,,,,,,,,,,
"The Shapiro–Wilk test was applied to each method. Samples with constant values were excluded, as the test is not defined for distributions with zero variance.",,,,,,,,,,,,,,,,,,
"Shapiro–Wilk tests revealed that several methods significantly deviated from normality (p ≤ 0.05), indicating that the normality assumption was not met for all samples.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Homogeneity_of_Variance among the groups.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Method,Statistic,Df,p.value,,,,,,,,,,,,,,,
Levene,20.82007934742488,18,5.823884764595088e-51,,,,,,,,,,,,,,,
Fligner-Killeen,337.7073738132408,18,8.003618383690736e-61,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
The homoscedasticity assumption was strongly rejected,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Due to violations of normality and homoscedasticity, a Kruskal–Wallis test was applied to independent samples.",,,,,,,,,,,,,,,,,,
 Kruskal-Wallis test,,,χ²,df,p-value,ε²,,,,,,,,,,,,
,,,348.6810373454983,18,4.273829565330382e-63,0.60014707322232,,"The magnitude of ε² was interpreted according to commonly used thresholds: small (0.01 ≤ ε² < 0.08), medium (0.08 ≤ ε² < 0.26), and large (ε² ≥ 0.26).",,,,,,,,,,
The Kruskal–Wallis test revealed statistically significant differences among the groups.,,,,,,,,,,,,,,,,,,
"The effect size (ε²) was very large, indicating that the observed differences among groups are substantial and practically meaningful.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Kruskal post-hoc,,,,,,,,,,,,,,,,,,
 Post-hoc pairwise comparisons were performed using Dunn's test with a Bonferroni correction to identify which specific groups showed differences.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
GA  3  Sum,0.6801998662958384,,,,,,,,,,,,,,,,,
GA  3  Vote,1,0.00026449435958740276,,,,,,,,,,,,,,,,
GA  5  Sum,1,1,0.3670969789037736,,,,,,,,,,,,,,,
GA  5  Vote,5.94146588998773e-7,0.4216248298873441,8.170158694750616e-13,0.0003253732474852066,,,,,,,,,,,,,,
GA  7  Sum,0.2402857999202924,1,0.0000525898248791989,1,1,,,,,,,,,,,,,
GA  7  Vote,2.818138240089637e-13,0.00006273293370868168,7.827664580055895e-21,1.5421657125623117e-9,1,0.00031233175057142023,,,,,,,,,,,,
MGA  3  Sum ,2.8049603675648377e-7,0.27918365324024386,3.0604754010576487e-13,0.00017599559849123107,1,0.7803311033273299,1,,,,,,,,,,,
MGA  3  Vote,0.029047244646704627,1,0.0000022336462203635377,1,1,1,0.004459638824362302,1,,,,,,,,,,
MGA  5  Sum ,6.201624251694915e-7,0.43158866334294593,8.642453300673808e-13,0.000336966657025415,1,1,1,1,1,,,,,,,,,
MGA  5  Vote ,7.570202319316271e-14,0.000026529089541115905,1.5479818271246379e-21,4.965210608261521e-10,1,0.00013869264103709251,1,1,0.0021618796971261556,1,,,,,,,,
MGA  7  Sum,0.00013268694112792233,1,1.1250991276322441e-9,0.02500766358287821,1,1,0.4265801328628578,1,1,1,0.24757359325716213,,,,,,,
MGA  7  Vote ,3.1192503873520146e-13,0.00006702080160904526,8.873588913674612e-21,1.6829907884156973e-9,1,0.00033241171831779404,1,1,0.0047140077249184075,1,1,0.4446335844536323,,,,,,
SEC  3  Sum,1,1,0.03663937723064308,1,0.006174974248249641,1,1.0358792353864019e-7,0.0035982460589670385,1,0.0063676102149142775,3.6848704815957816e-8,0.2652583532097854,1.1217122838364907e-7,,,,,
SEC  3  Vote,1,0.00026449435958740276,1,0.3670969789037736,8.170158694750616e-13,0.0000525898248791989,7.827664580055895e-21,3.0604754010576487e-13,0.0000022336462203635377,8.642453300673808e-13,1.5479818271246379e-21,1.1250991276322441e-9,8.873588913674612e-21,0.03663937723064308,,,,
SEC  5  Sum,1,1,0.4979414306455956,1,0.00020509310589399978,1,8.07924394289892e-10,0.00010973147414355967,1,0.0002125344751197227,2.563586294423079e-10,0.017168794208026566,8.82704232066429e-10,1,0.4979414306455956,,,
SEC  5  Vote,0.4724182237689666,1,0.0001493881534037434,1,0.6092705126236381,1,0.00011311858600660199,0.4086670883753965,1,0.6232063704654922,0.00004868717314024331,1,0.00012068441050723028,1,0.0001493881534037434,1,,
SEC  7  Sum,1,1,0.8828480342620011,1,0.00008131550698380795,1,2.2311530837746232e-10,0.00004258741269629153,0.6617972266588835,0.00008436964983827701,6.880754406444233e-11,0.008045846682685731,2.443087205394102e-10,1,0.8828480342620011,1,1,
SEC  7  Vote,0.037268082404861166,1,0.0000032196310478270245,1,1,1,0.0033718073808571693,1,1,1,0.0016187731621630317,1,0.0035668215164231794,1,0.0000032196310478270245,1,1,0.8066242171355049
,,,,,,,,,,,,,,,,,,
Cliff's Delta: Pairwise effect sizes quantifying the magnitude of significant differences.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
GA  3  Sum,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA  3  Vote,0.3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA  5  Sum,0.4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA  5  Vote,0.649,0.6,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA  7  Sum,0.471,0.067,1,0.866,-0.573,0,0,0,0,0,0,0,0,0,0,0,0,0
GA  7  Vote,0.742,1,1,1,0.364,0.978,0,0,0,0,0,0,0,0,0,0,0,0
MGA  3  Sum ,0.678,0.867,1,0.942,-0.127,0.809,-0.62,0,0,0,0,0,0,0,0,0,0,0
MGA  3  Vote,0.544,0.2,1,0.427,-0.389,0.073,-0.784,-0.453,0,0,0,0,0,0,0,0,0,0
MGA  5  Sum ,0.671,0.933,1,0.969,-0.182,0.836,-0.693,-0.078,0.442,0,0,0,0,0,0,0,0,0
MGA  5  Vote ,0.744,0.933,1,0.971,0.449,0.904,0.138,0.656,0.82,0.729,0,0,0,0,0,0,0,0
MGA  7  Sum,0.593,0.733,1,0.859,-0.329,0.561,-0.773,-0.362,0.229,-0.342,-0.729,0,0,0,0,0,0,0
MGA  7  Vote ,0.744,1,1,1,0.347,0.98,0,0.609,0.798,0.678,-0.149,0.751,0,0,0,0,0,0
SEC  3  Sum,0.4,-0.433,1,0.418,-0.667,-0.471,-1,-0.924,-0.424,-0.962,-0.962,-0.831,-1,0,0,0,0,0
SEC  3  Vote,0.3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
SEC  5  Sum,0.433,-0.667,1,-0.252,-0.718,-0.671,-0.953,-0.867,-0.569,-0.853,-0.96,-0.773,-0.956,-0.348,1,0,0,0
SEC  5  Vote,0.524,0.133,0.6,0.133,-0.422,0.058,-0.669,-0.36,-0.107,-0.338,-0.696,-0.189,-0.671,0.144,0.6,0.109,0,0
SEC  7  Sum,0.422,-0.667,0.933,-0.357,-0.749,-0.741,-0.971,-0.911,-0.598,-0.898,-0.962,-0.81,-0.973,-0.318,0.933,0.039,-0.167,0
SEC  7  Vote,0.567,0.133,0.8,0.171,-0.291,0.06,-0.549,-0.242,-0.031,-0.231,-0.613,-0.109,-0.567,0.22,0.8,0.307,0.131,0.324
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"This measure quantifies the magnitude of the differences between pairs of groups, independently of statistical significance. Effect sizes were interpreted according to the categories presented in",,,,,,,,,,,,,,,,,,
Effect Size Magnitude,Negligible,Small,Medium,Large,,,,,,,,,,,,,,
Absolute Cliff's Delta (|δ|),< 0.147,0.147-0.330,0.330-0.474,≥ 0.474,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cliff's Delta Magnitude,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum
GA  3  Sum,medium,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
GA  3  Vote,small,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
GA  5  Sum,medium,large,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
GA  5  Vote,large,large,large,large,84,84,84,84,84,84,84,84,84,84,84,84,84,84
GA  7  Sum,medium,negligible,large,large,large,84,84,84,84,84,84,84,84,84,84,84,84,84
GA  7  Vote,large,large,large,large,medium,large,84,84,84,84,84,84,84,84,84,84,84,84
MGA  3  Sum ,large,large,large,large,negligible,large,large,84,84,84,84,84,84,84,84,84,84,84
MGA  3  Vote,large,small,large,medium,medium,negligible,large,medium,84,84,84,84,84,84,84,84,84,84
MGA  5  Sum ,large,large,large,large,small,large,large,negligible,medium,84,84,84,84,84,84,84,84,84
MGA  5  Vote ,large,large,large,large,medium,large,negligible,large,large,large,84,84,84,84,84,84,84,84
MGA  7  Sum,large,large,large,large,small,large,large,medium,small,medium,large,84,84,84,84,84,84,84
MGA  7  Vote ,large,large,large,large,medium,large,negligible,large,large,large,small,large,84,84,84,84,84,84
SEC  3  Sum,medium,medium,large,medium,large,medium,large,large,medium,large,large,large,large,84,84,84,84,84
SEC  3  Vote,small,large,negligible,large,large,large,large,large,large,large,large,large,large,large,84,84,84,84
SEC  5  Sum,medium,large,large,small,large,large,large,large,large,large,large,large,large,medium,large,84,84,84
SEC  5  Vote,large,negligible,large,negligible,medium,negligible,large,medium,negligible,medium,large,small,large,negligible,large,negligible,84,84
SEC  7  Sum,medium,large,large,medium,large,large,large,large,large,large,large,large,large,small,large,negligible,small,84
SEC  7  Vote,large,negligible,large,small,small,negligible,large,small,negligible,small,large,negligible,large,small,large,small,negligible,small
,,,,,,,,,,,,,,,,,,
Confidence Intervals for the median ,,,,,,,,,,,,,,,,,,
Confidence intervals for the median were computed to provide an estimate of the uncertainty associated with the central tendency of each group.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Method,Median,CI95_Lower,CI95_Upper,,,,,,,,,,,,,,,
GP,54749.46386132079,53804.64747254765,55889.7362944431,,,,,,,,,,,,,,,
GA  3  Sum,53246.4548846428,53246.4548846428,53246.4548846428,,,,,,,,,,,,,,,
GA  3  Vote,53830.6186415478,53830.6186415478,53830.6186415478,,,,,,,,,,,,,,,
GA  5  Sum,53373.9990541497,53247.4606156409,53373.9990541497,,,,,,,,,,,,,,,
