3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S,7 20 20 S
53222.41586001,52368.5905406763,52756.1488876952,53019.5939586929,52773.9637042995,52776.7162008611,52324.6032690519,53830.6186415478,52937.0450845156,53391.3820238547,52643.757069797,52009.1914171021,52391.4296500542,52767.5345148373,52837.8499358055,52997.7009873367,52785.1913631929,52866.4677283004,52741.1616313045,52579.0841925068,52882.9314749377,53268.9714265057,52812.022748556,52858.1530468821
53257.2230905296,52423.735887435,53125.926850652,53199.1169789881,52005.9321512819,51987.900591456,52939.6926396431,53056.549531229,52824.8399043767,53090.2185322333,52355.6081744142,53685.0765984481,53006.4617137255,52611.3710328128,52511.6415877909,52793.3742063106,53034.8742510837,52729.6075731476,52749.9961999469,53185.9551293417,52683.8174938135,52605.0474273537,53242.1210681,52675.3579910271
52625.4295520108,53103.4083985725,52485.3658753218,52807.3961445501,52545.0078386596,52407.9032990914,52578.9037666568,53488.5908807234,52665.2361055445,53465.4649991455,52663.3235770623,53265.3752542529,52677.1919594155,52888.591911626,52760.3100079645,52935.5725401227,53055.201941077,53146.5513553108,52562.5618386577,52949.0551475869,53183.9019913146,53144.7260121271,53143.7939153764,52458.5109761565
52735.7531409454,52662.0233929761,53110.3671281294,52406.4648628397,52808.8759504844,52843.2236054023,52366.7452963984,53248.5755473395,52347.3713415083,52385.7641255449,52774.1675790358,52434.4690696097,52837.8451740686,52621.6331477623,52338.294108956,52934.9606740151,52782.8931081245,52540.9997068298,52739.7631488766,52918.3203140246,53247.4606156409,53188.7731866759,52528.4320781858,52613.8372180595
52868.3951645497,53127.8936393083,52627.9637369854,53530.8122872074,52820.5685805132,53291.7866407511,52742.3178856597,52571.3718055179,52366.3628959802,52731.8956509986,52826.0977672596,53270.2986229313,52833.2914394025,52738.2681673645,52947.2845447188,52768.5881253556,53197.8435624138,52473.4892542176,52947.8623025177,52622.6622375286,52222.8936484695,52896.6604873239,52609.1324916858,52256.7552450066
53283.4411648082,52945.5148247478,52919.6287205196,52615.7612429951,52374.5250077357,52214.1809500234,51693.6876209724,52591.0274383363,52870.3732384464,52786.9781092154,52870.6686756619,51861.9510786646,52956.8154297201,52776.1969829163,52656.7519152265,52848.3798972853,53024.4092000088,52673.4491184662,52342.6990637416,53476.3932714194,53358.0592364994,53419.1068296476,53186.1585436948,53066.5880978412
53387.9309120782,52431.4920224932,52924.4953149717,52639.9656801326,53089.4814664147,52823.8144843237,52353.7490450047,53860.6176342859,52714.1740379477,52611.6275485051,52436.3684863788,53025.7775296236,52790.4500072544,52480.8152191806,52982.9520142957,52615.1636481299,52782.6238190657,52648.3991111901,52858.2085237849,52961.7278841573,53055.117172976,52993.3944763225,53150.1953104518,53153.970344585
52944.5647699029,52838.2769783255,52323.9003404915,52730.0118718963,52099.5008101909,53235.8406770348,52882.7518257791,53386.9226339838,52637.7198632646,52561.4497007546,53065.0808240788,52146.7610871227,52892.8206841234,53200.9490163368,52694.9221403217,52814.3899039301,52856.453541816,53274.1394424218,52889.3298553808,53230.4988598105,53124.6376043381,52233.2419192885,53067.9985457649,53006.7782524061
52790.1148441583,52662.0233929761,53120.2043998645,52907.5266435849,52499.5912509137,52705.3503675063,52809.5114896062,52881.1522876405,52823.6761085587,51865.5188896982,52361.1982003883,52817.7673212168,53074.5545268924,52555.8911147644,52760.5965181319,52452.9986451404,52687.5449762092,52896.9554964673,52908.1387235222,52873.2437022143,52909.6417557131,52993.6518048726,52981.0757684937,53092.0259389663
52916.3611439721,52881.0065557543,53185.5531322065,53957.8835646775,52620.8251920735,52785.8485774408,52792.0451268674,52679.1306043258,52959.7354017332,52698.3492097764,52764.9495320887,52859.3481516151,53107.9813443278,51931.0554027051,52662.2583966985,52723.5074208976,53037.8233812367,53182.1991633605,52844.613497654,52517.5782782985,53124.5221934815,53246.3527229505,52733.179814111,53076.2787462089
53274.9757385472,53191.174147212,53271.6210933484,52872.8283176204,52640.1439429393,52833.8829257836,52862.5351878931,51660.1811026357,52618.229184904,52526.0003655483,52414.8533355248,53104.6043850233,52925.7981904052,52890.0520532001,52490.6855154917,52624.6820283603,52563.9397355828,52960.1378788271,52440.5694486926,52826.7060675031,52547.7027701905,52927.6836532831,52983.8547807315,52980.0733609388
53179.5816626775,53276.6395434878,52675.8264830664,52597.7097790871,52727.2352495186,53353.2905358777,52181.3091178966,53042.5117875641,52400.0474128926,52820.1019239632,52776.6953741352,53452.0094819677,52932.6319455959,52537.9538341456,52803.9885157192,52885.0237937366,52848.8977882614,52908.3540472399,52704.2789224303,52294.0030242924,53115.968468072,52587.9141323784,52464.3233652974,53389.0841568511
