Time(min),S 5 5,V 5 5,S 20 20,V 20 20
1,3.16648222148222,2.45406435068199,7.00678571428571,6.13841269841269
2,2.91374243536375,2.2807748231158,7.34108239255298,5.65942205942205
3,2.77696147663113,2.21257190631274,6.99439615939615,5.80954709234121
4,2.64089102876157,2.1358289716283,6.93880115508497,5.54389300962544
5,2.52395376919752,2.03862621257111,6.97297880231987,5.36356644219725
6,2.41801996305748,1.92597416967397,7.01351407463224,5.3234133454214
7,2.33383981897279,1.85737159149948,6.94228655746252,5.23811270652226
8,2.27534768455127,1.7644694469792,6.89479829756106,5.16461012148009
9,2.21810926712014,1.70158990546065,6.82639635650631,5.03812157998818
10,2.17875447280863,1.66434627382893,6.7407296410915,4.96282717162811
11,2.14033851821574,1.642241943688,6.72377110380836,4.86088469087274
12,2.12013914925424,1.61719323037473,6.68123977365528,4.84320780970408
13,2.09572833254709,1.60569274318285,6.56415239824743,4.82109735415337
14,2.07332530575698,1.59533505115393,6.48639139939992,4.77183325669852
15,2.04883183048446,1.585010953443,6.38684073777994,4.74964498220012
16,2.03152313671254,1.57881992025508,6.2565424260779,4.73886145987523
17,2.02039454101518,1.56935396021655,6.19877428823632,4.69963114370869
18,2.00284713668608,1.5643132891374,6.11368718913371,4.67388316389163
19,1.99450206533805,1.55690681796875,6.05243693834049,4.64954013488819
20,1.98232833403054,1.54840890736617,5.99462639498688,4.62687334425736
21,1.97316780555638,1.544857648958,5.89177409029447,4.6313704906511
22,1.96712306335061,1.53834038881189,5.80541164358642,4.57352138715167
23,1.95634600998798,1.53219223582697,5.72973607408295,4.53672101405675
24,1.94686060251011,1.52772182649229,5.66846214844339,4.51764068340063
25,1.93824485749708,1.5239182439804,5.61442285710917,4.47683184897885
26,1.93245257113734,1.51980641648075,5.54813169815497,4.4610661080831
27,1.92479847376572,1.51562857230846,5.49214364944643,4.41269128651879
28,1.9169197581818,1.51132022113949,5.42091338711628,4.38209510105939
29,1.91118205492923,1.50620846199494,5.38354626615653,4.36039366192726
30,1.90769669524751,1.50107449945714,5.30394785165789,4.33388704781685
31,1.90126957530183,1.5000989975931,5.24522963152271,4.307802231486
32,1.89646926401147,1.49790748112891,5.17947921765794,4.28024806379534
33,1.89307396823495,1.49577015427257,5.12980654870128,4.2531828963103
34,1.89071071667139,1.49414754608908,5.07964628090112,4.2059486777902
35,1.88730827518581,1.49124479495988,5.04195426867924,4.17413618176963
36,1.88075960590698,1.4898129610954,5.00815833276458,4.14060825958425
37,1.87612015883953,1.48667502714385,4.95592341064007,4.11364553728384
38,1.87162507426544,1.48340937202912,4.92022926394001,4.08757556068974
39,1.87204549338593,1.48308149581268,4.87017082540039,4.05524010209859
40,1.86775210459207,1.48123195369282,4.8233898109791,4.0249797005627
41,1.86528575776939,1.47905042075197,4.77927587435353,4.00097125729049
42,1.8625596003792,1.47765804016974,4.74252139650798,3.96324359159376
43,1.86020233496987,1.4742397787377,4.70508797113584,3.93346031450929
44,1.85832054907759,1.47179798981147,4.67542237111851,3.90677172744495
45,1.85553858199655,1.47073101222732,4.64138260376947,3.88045688422005
46,1.85505996118867,1.47007188299964,4.6124678487817,3.86272362721478
47,1.85414629000509,1.46965376352904,4.585071863428,3.83753898364177
48,1.85117655706003,1.468056058757,4.55037662495227,3.81130438458517
49,1.84853031851163,1.46659844971264,4.52519023619118,3.79401790745901
50,1.84714407622526,1.46527413224568,4.49120685381462,3.76831432283214
51,1.84579723909675,1.46431112538509,4.46500434028551,3.75142811440898
52,1.84280247537099,1.46455175595244,4.43743444683486,3.73043615374849
53,1.84116390886897,1.46383452797668,4.41495264174641,3.71438645764408
54,1.83977895529559,1.46349476189544,4.39100953234155,3.70225960725115
55,1.8376352408096,1.46355258948172,4.36492062995418,3.68538910988387
56,1.83443283040206,1.461772088095,4.35030157031694,3.67045891534655
57,1.83429213528269,1.46203531352761,4.32604618368902,3.65506882491832
58,1.83276136388638,1.46102198663419,4.30294655444622,3.64251421252225
59,1.83195907127005,1.46078415918669,4.27751296969063,3.62756148154969
60,1.83080372106415,1.46019879354162,4.25964110138178,3.61648760786919
61,1.82763154461633,1.46040797756474,4.23501398734634,3.60570835170658
62,1.82515052680822,1.45992590862625,4.21365548319588,3.58731098543044
63,1.82371286601407,1.45990945491196,4.19837109187294,3.5705973598669
64,1.82230038232587,1.45903269275292,4.17895489616169,3.55435752694531
65,1.82132530699897,1.45793115643888,4.16662560501885,3.54292503297512
66,1.8204199414042,1.45779556801362,4.14929080333523,3.52542323389157
67,1.82190184361937,1.4579636478626,4.12730183153461,3.50987249491359
68,1.82059947849309,1.4582569926955,4.10082527486997,3.49741261687298
69,1.81959639397224,1.457512463527,4.08704288196343,3.4844487686047
70,1.81866420902018,1.45763274556525,4.07464655367978,3.47059867102447
71,1.81841212157182,1.45785770157562,4.05919529322707,3.4590644839682
72,1.81849465950875,1.45785809820643,4.042341147525,3.44477674522218
73,1.81599091575507,1.45737873748334,4.02455687071364,3.43151955607763
74,1.81533882261175,1.45704031089172,4.0092576643253,3.41521286241704
75,1.81506187660455,1.45593813136678,3.9939225771561,3.4025550674208
76,1.81368744169951,1.45588433642428,3.97832524324889,3.39052086964081
77,1.81394070538502,1.45532365492298,3.9683286793303,3.37867082583601
78,1.8128085700597,1.45522056970224,3.95152166914428,3.36479667163667
79,1.81241684561063,1.45527975200213,3.93965376091563,3.35594040702769
80,1.8117852318025,1.45554899172009,3.92544509802391,3.34514776745978
81,1.81195664552972,1.45484361060301,3.91394039420133,3.33422401594473
82,1.81059580212176,1.45493661912391,3.90294138662078,3.32597668298398
83,1.81005847342314,1.45420943562656,3.88927106826634,3.31265319629188
84,1.80981855075077,1.45397907175617,3.88609177657342,3.30105102028103
85,1.80980185131936,1.45351586467927,3.87341366243245,3.29059184793556
86,1.80892859251206,1.45421176034769,3.86201147653728,3.28236681057669
87,1.80943488059727,1.45456555486882,3.85410946567304,3.27320428828549
88,1.80857511307136,1.45478203285858,3.84195798023111,3.26398159876031
89,1.80750658275925,1.45417926919878,3.83155939420448,3.25385213952465
90,1.80671949924144,1.45355924773117,3.82117294347368,3.2473941597666
91,1.80617019218789,1.45373129020848,3.80977946166329,3.23835490810591
92,1.80539265758085,1.45322298974999,3.8001985819859,3.23222141732706
93,1.80446952898807,1.45327333047892,3.79516435150992,3.22289675288985
94,1.80435098488005,1.45284454251616,3.78630776299017,3.21244023126966
95,1.80453176398668,1.45257571567967,3.77110373480667,3.20399034517345
96,1.80331213070287,1.45284974071317,3.76023808425251,3.19438680343197
97,1.80252497441337,1.45346574896143,3.75448877805106,3.18545338331871
98,1.80178022058464,1.45322240678595,3.7478149352697,3.17332782715727
99,1.80067180513965,1.45307173022992,3.74181028781485,3.16690013873142
100,1.80002944995165,1.45337980510468,3.72727240109284,3.1583532095833
101,1.79968903350419,1.45358815960601,3.71940353747288,3.1496617728564
102,1.79936842656755,1.45370858739327,3.71158383415011,3.13887849624197
103,1.79896389348903,1.4533190560277,3.70104485826644,3.13157644534836
104,1.79783475890949,1.45329396505271,3.69201834591276,3.12529224465205
105,1.79760682083235,1.45316362792935,3.68422979954636,3.11715969609773
106,1.79735236620302,1.45327549186008,3.67713178716024,3.11061197043209
107,1.79633698293394,1.45309576978258,3.66843370959649,3.10185227838956
108,1.79513095950691,1.45309873991916,3.66367022267135,3.09576190368145
109,1.79455944659808,1.45299576143475,3.65451494668416,3.08864002568591
110,1.79395461517741,1.45319485925477,3.64564444447398,3.07771724088852
111,1.7937280191608,1.45291491457668,3.63907583983424,3.07270613923682
112,1.7935879446404699,1.45326248451187,3.63270510274537,3.06641765138316
113,1.79367287769924,1.45331245066627,3.62349834792724,3.0603110074468
114,1.79291351633122,1.45335728411075,3.61480098900489,3.05336944198972
115,1.79265890979377,1.45337495000441,3.60798913251321,3.04552345236365
116,1.7925510788261,1.45348739640382,3.601414923997,3.03641600597676
117,1.79219231094231,1.45367999440616,3.59397822726493,3.02955431232375
118,1.79200625191197,1.45362924949467,3.58459293337044,3.02186155435999
119,1.79229620074738,1.45399494140637,3.58029871199199,3.01487250815148
120,1.79260350149459,1.45418993415623,3.57344021722316,3.00977637377473
121,1.7922534677216,1.45451954483394,3.56332667024776,3.00241212984403
122,1.79248443070051,1.45440308561734,3.55743504402116,2.99592600547214
123,1.79199894879112,1.45422153541194,3.54910676063232,2.98842622283125
124,1.79209030355356,1.45409504488373,3.54029106541248,2.98076458024042
125,1.79288217617665,1.45422073869083,3.53224003914556,2.973706790923
126,1.79339273018384,1.45485895285617,3.5247676376372,2.96646391526641
127,1.79349457758802,1.45496766626633,3.51964444703009,2.95972498252875
128,1.79368279395458,1.45551795841776,3.5121869947406,2.95572757881494
129,1.79443431317415,1.45602893315757,3.50519882131365,2.94948842043878
130,1.79398529005483,1.45644349310027,3.49905522764243,2.94398005987518
131,1.79374732895341,1.45658375362601,3.49422416295325,2.93894043014071
132,1.79320317673491,1.45682856054876,3.48916616684781,2.93152241514395
133,1.79399545946558,1.45679785624278,3.48277082744749,2.92434523488142
134,1.79417579291072,1.45690832362131,3.47568570538053,2.91731846484851
135,1.79500572604525,1.45715616813005,3.47280480985514,2.9132433991269
136,1.79496348421943,1.45738337411854,3.47020586141067,2.90746213149168
137,1.79505087773955,1.45735596071785,3.4668267428499,2.90035455626376
138,1.79556800892123,1.45773056900402,3.46335593195625,2.89379980264616
139,1.79511084735416,1.45796726327709,3.4583926262972,2.88837573607264
140,1.79574454655527,1.4580098831672,3.45219238423833,2.88355132888243
141,1.79625517080237,1.45789275074295,3.44973290234178,2.87644218483874
142,1.79665980848236,1.45827199635673,3.44549594861678,2.87200432374265
143,1.79761690404402,1.45810629738213,3.44061439785039,2.86623324756193
144,1.79734140586243,1.45780934782743,3.43839598855116,2.86258273179947
145,1.79769492728844,1.45825419780139,3.43397328164006,2.85656476974175
146,1.79827507673843,1.45844278852341,3.42980319721033,2.85008124668757
147,1.79837974923038,1.45841158140239,3.42537322857729,2.8442426976703
148,1.79934657730358,1.45862886874706,3.42144636330948,2.83926567983332
149,1.80005734795136,1.45867653771896,3.41700355636226,2.8328112878761
150,1.79965186403523,1.45883070954335,3.41153874731632,2.82683137681876
151,1.79926928375528,1.45926032575277,3.4072844154248,2.81979175155203
152,1.79988964556983,1.45899343982558,3.40226035949145,2.81319662745995
153,1.79899764213392,1.45952618169432,3.3986692411644,2.80736124121518
154,1.79829129031234,1.45991467032093,3.39116366017846,2.80300122086134
155,1.79844117199337,1.46019012946075,3.38789784079086,2.79845485038553
156,1.79809741037979,1.46029528155065,3.3829928895213,2.79432936403221
157,1.7985055276389,1.46018997535444,3.38009698671148,2.78825349101141
158,1.79883552546656,1.46023094788352,3.37643033959369,2.78339847978259
159,1.7985807390121,1.46054757821063,3.37249968561198,2.77797510686262
160,1.79762132603517,1.46061459249203,3.36899363771052,2.77105997994172
161,1.79747085687606,1.46122146156768,3.36642033622671,2.76625167024906
162,1.79746286047144,1.46149987820012,3.36099448802587,2.76121649153767
163,1.7978589766207,1.46185891174484,3.35839060976642,2.75719398172645
164,1.79771866166746,1.46174705072055,3.35566521528586,2.75300722732599
165,1.79775374535734,1.4621602146366,3.35217191662104,2.74964381882738
166,1.79794145487177,1.46246198580176,3.34822644884238,2.74524299912804
167,1.79808158695608,1.46265949077562,3.34566624483721,2.74155773544087
168,1.79819448156942,1.46252369337765,3.34131071166577,2.73738910487086
169,1.79832305700896,1.46295446532584,3.33919777163073,2.73392783203541
170,1.79769538669638,1.46290216719883,3.33768340731839,2.73008533922312
171,1.7976785377758,1.46312301839425,3.33406147165535,2.72527913568922
172,1.79786259713915,1.46350398839388,3.33129872233228,2.72290629904767
173,1.79802565604337,1.46351541795144,3.3290444304568,2.71995093095
174,1.79777638037613,1.46350009071045,3.32629274534685,2.71627205846617
175,1.79776092781759,1.4641781723558,3.32408149346255,2.71286858205022
176,1.79680550317212,1.46452784293398,3.31891103360266,2.70971384875706
177,1.79673403097616,1.46520183622274,3.3168794734817,2.70612386572692
178,1.79633936881139,1.4650925317375,3.3141879852018,2.70230219504671
179,1.79616449393653,1.46543902859745,3.31141337987423,2.69994117843227
180,1.7962931971742,1.46544572581162,3.30890293108111,2.69743958947602
181,1.79585791815012,1.46542470593352,3.30713688171419,2.69483353464311
182,1.79583630493223,1.46544717105474,3.30485605614352,2.69129692734239
183,1.79601521375742,1.4655753871946,3.30381742193349,2.68878794820477
184,1.79553793745657,1.46588798883764,3.30052088582123,2.68711399534453
185,1.79570098121598,1.46581671138359,3.29871316833057,2.68426229638785
186,1.79529192868241,1.46595652970448,3.29789604780697,2.68165929830318
187,1.79564760966243,1.46602869186515,3.29556622648994,2.67831333900912
188,1.79532414690525,1.46606477846064,3.29481389738829,2.67601926342932
189,1.79575743229776,1.46604512743046,3.29148494234349,2.67357101325765
190,1.79534790966744,1.46612210344451,3.28833623898284,2.66990441966164
191,1.79572023588648,1.46613481222468,3.28667386427418,2.66688637584839
192,1.79577599791203,1.46585003928621,3.28390121912748,2.66455052584272
193,1.79575825950804,1.46586791801998,3.28324598412569,2.66183292037066
194,1.79593519544148,1.4659009336504,3.28155746342797,2.65863323933831
195,1.79640701863242,1.46635503568736,3.28050976578893,2.65615824976701
196,1.79671281144181,1.46674391638274,3.27886781275783,2.65271598044195
197,1.79688276936312,1.46659255089152,3.27694638594342,2.65034039396927
198,1.7976636479966,1.46684264782622,3.27633741900139,2.64801238780873
199,1.79770179991191,1.46705820059731,3.27462603428347,2.64499009218157
