Training,NN,Best RP,Avg. RP,Best ensemble,Avg. Ensemble,VNS/TS,BestGlobalRuleTrain,BestEnsemblePerInstanceTrain,TimeNN(s),TimeRules(s),TimeEnsemble(s)
C101,48,15,18.2,16,17.4156862745098,12,16,14,0.0007389,0.00271239,0.00902098588235294
C101-10,7,4,5.06,5,5.00980392156862,3,5,4,1.71e-05,3.7494e-05,0.000118104117647058
C101-5,3,3,3.54,3,3.02156862745098,2,3,3,3.4e-06,1.1082e-05,3.47903921568627e-05
c103,34,14,18,14,15.8725490196078,10,16,14,0.0007979,0.002718226,0.00885376529411764
C103-15,5,3,4.9,5,4.85490196078431,3,5,4,1.66e-05,6.3514e-05,0.000228650392156862
c105,45,14,16.7,16,16.5431372549019,11,15,14,0.0006977,0.002593794,0.00901782843137254
c107,44,14,16.42,14,15.3470588235294,11,14,14,0.0007026,0.002671728,0.00890039431372549
c109,26,12,13.66,12,13.4019607843137,10,13,12,0.0006804,0.002664748,0.00873423333333333
c202,33,5,6.76,5,6.52745098039215,4,5,5,0.0002747,0.002501434,0.00842776176470588
C202-10,4,1,2.02,2,2.0392156862745,1,2,1,9.5e-06,3.0772e-05,9.87096078431372e-05
C202-15,5,2,3.38,2,2.92941176470588,2,3,2,1.41e-05,6.5636e-05,0.000209852352941176
c204,15,4,5.88,4,5.38039215686274,4,5,4,0.0005554,0.00254431,0.00827317039215686
c206,19,4,5.54,4,4.92156862745098,4,4,4,0.0004162,0.002481652,0.00819124450980392
C206-5,2,1,1.54,1,1.12941176470588,1,1,1,5.8e-06,1.1452e-05,3.18174509803921e-05
c208,17,4,5.14,4,4.73333333333333,4,4,4,0.0004233,0.002469412,0.00812585764705882
r101,66,27,30.96,26,28.8176470588235,18,27,26,0.0008817,0.002944748,0.00980144196078431
R102-10,6,4,4.7,5,5.00588235294117,3,5,4,8.7e-06,3.2052e-05,0.00011542156862745
R102-15,11,6,6.96,7,7.11960784313725,5,7,6,4.37e-05,9.3822e-05,0.000278086666666666
r103,40,19,22.4,19,21.2,13,21,18,0.0010172,0.002817624,0.00932116470588235
R104-5,2,2,2.18,2,2.02745098039215,2,2,2,2.3e-06,8.642e-06,3.04762745098039e-05
r105,54,22,25.36,24,25.4490196078431,14,24,21,0.0009554,0.003052566,0.00971153549019607
r107,34,16,20.18,19,18.6529411764705,12,19,15,0.0008046,0.002755884,0.00902754274509804
r109,38,17,19.6,18,19.5294117647058,12,19,17,0.0008316,0.002771928,0.00904626588235294
r111,27,15,18.22,17,17.756862745098,12,18,15,0.0008626,0.002646862,0.00915079764705882
r201,38,4,6.34,4,4.92745098039215,3,4,4,0.0001476,0.0021626,0.00802362901960784
R201-10,6,1,2.22,1,1.31764705882352,1,1,1,6.7e-06,3.028e-05,9.5258431372549e-05
R202-15,7,2,2.48,3,2.60588235294117,2,3,2,3.02e-05,8.0278e-05,0.000240960392156862
R202-5,2,1,1.02,1,1.01960784313725,1,1,1,4.7e-06,9.492e-06,2.77350980392156e-05
r203,22,4,5.4,4,4.42549019607843,3,4,4,0.0001276,0.002193526,0.00800417588235294
r205,32,3,4.72,3,3.67450980392156,3,4,3,0.0001049,0.00217078,0.00794853294117647
r207,19,3,3.94,3,3.27647058823529,2,3,3,9.54e-05,0.002028772,0.00769600372549019
r209,23,3,4.52,3,3.61372549019607,3,3,3,0.0001265,0.002287758,0.00792716450980392
r211,19,3,3.64,3,3.21372549019607,2,3,3,9.86e-05,0.002009924,0.00762076862745098
rc101,49,23,25.72,25,25.3941176470588,16,24,23,0.0009466,0.00311683,0.00977817921568627
RC102-10,7,4,5.06,5,5.1156862745098,4,5,4,7.7e-06,3.1206e-05,0.000114024509803921
rc103,30,19,21.08,19,19.4980392156862,13,20,17,0.0010899,0.003042048,0.00940861882352941
RC103-15,6,5,5.28,5,5.15098039215686,4,5,5,1.4e-05,6.0154e-05,0.000223909803921568
rc105,40,20,22.54,19,21.5196078431372,14,21,19,0.0010297,0.003009742,0.00949609078431372
RC105-5,4,3,3.44,3,3.19019607843137,2,3,3,4.7e-06,1.1386e-05,3.61366666666666e-05
rc107,25,15,17.64,16,17.0333333333333,12,16,15,0.0012365,0.002997852,0.00931871960784313
rc201,43,5,7.76,5,5.77058823529411,4,5,5,0.0001142,0.00212087,0.0081780631372549
RC201-10,8,2,2.18,2,2.05490196078431,1,2,2,6.7e-06,2.9784e-05,9.73911764705882e-05
RC202-15,7,2,2.76,2,2.15882352941176,2,2,2,1.58e-05,6.23e-05,0.000208137450980392
rc203,21,4,6.02,4,4.9156862745098,3,5,4,9.93e-05,0.00221683,0.00795064862745098
RC204-5,2,1,1.28,1,1.00196078431372,1,1,1,6.8e-06,1.121e-05,3.10374509803921e-05
rc205,31,5,7.08,5,5.87450980392156,3,5,5,0.0001458,0.002216684,0.00814728980392156
rc207,21,4,5.24,4,4.40980392156862,3,4,4,0.0001007,0.00220504,0.00814157058823529
,1047,364,444.65999999999997,384,415.8490196078424,275,397,357,0.016322,0.074807118,0.25346394509803916
Test,NN,BestRulePerInstanceTest,AvgRulesTest,BestGlobalEnsembleTrainTest,AvgEnsembleTest,VNS/TS,BestGlobalRuleTrainTest,BestEnsemblePerInstanceTest,TimeNN(s),TimeRules(s),TimeEnsemble(s)
c102,40,15,18.5,15,16.5196078431372,11,16,14,0.0007936,0.002633284,0.00891148098039215
C103-5,3,1,1.7,2,1.99019607843137,1,2,1,1.9e-06,8.688e-06,2.86639215686274e-05
c104,23,13,16.58,14,14.9411764705882,10,15,12,0.0009258,0.002665834,0.00881351666666666
C104-10,3,2,2.46,3,2.91764705882352,2,3,2,1.27e-05,2.839e-05,0.00010226
c106,36,14,18.08,15,16.2529411764705,11,15,14,0.000733,0.002748872,0.00892725
C106-15,7,3,4.18,3,3.97254901960784,3,4,3,8.3e-06,5.2192e-05,0.000206260392156862
c108,30,13,15.82,14,14.9607843137254,10,14,13,0.0007469,0.002710574,0.00896286509803921
c201,42,6,7.18,6,7.90196078431372,4,7,6,0.0002605,0.002628264,0.00856055176470588
c203,26,5,7.6,8,7.88235294117647,4,9,5,0.0002406,0.002459152,0.0085079031372549
c205,24,4,5.68,5,5.88039215686274,4,5,4,0.0002476,0.002541346,0.00843071
C205-10,5,2,2.22,2,2.05686274509803,2,2,2,6.6e-06,2.4872e-05,9.50280392156862e-05
c207,16,5,6.34,5,5.62549019607843,4,5,4,0.0003783,0.002578444,0.00818691705882353
C208-15,4,2,2.28,2,2.1,2,2,2,1.27e-05,5.352e-05,0.00019672725490196
C208-5,1,1,1,1,1.02745098039215,1,1,1,3e-06,8.28e-06,2.83741176470588e-05
r102,53,23,28.24,25,25.7196078431372,16,25,23,0.000912,0.003012972,0.00969469901960784
R103-10,5,3,3.36,3,3.05490196078431,2,3,2,5.3e-06,2.5272e-05,9.89917647058823e-05
r104,28,17,19.7,18,18.7235294117647,11,19,16,0.0008898,0.002648048,0.00904451392156862
R105-15,10,5,5.2,5,5.1,4,5,5,1.93e-05,6.8526e-05,0.000226352549019607
R105-5,4,3,3,3,2.99803921568627,2,3,2,2.7e-06,1.0518e-05,3.44243137254901e-05
r106,46,20,23.98,23,22.7156862745098,13,24,19,0.0009434,0.002975174,0.00947186019607843
r108,26,16,17.64,17,17.3980392156862,11,18,15,0.0010382,0.002884186,0.00909721764705882
r110,26,15,17.78,17,17.4392156862745,11,16,15,0.0006863,0.002622596,0.00906715078431372
r112,20,14,15.78,15,15.9333333333333,11,15,14,0.000853,0.00268127,0.00889169784313725
r202,31,4,6.28,4,4.48039215686274,3,4,4,0.000105,0.002011106,0.00780623980392156
R203-10,2,1,1.24,1,1.02156862745098,1,1,1,1.01e-05,3.4984e-05,9.76647058823529e-05
R203-5,2,1,1.28,1,1.02745098039215,1,1,1,4.6e-06,1.2026e-05,3.12727450980392e-05
r204,12,3,4.52,3,3.51960784313725,2,3,3,0.0003897,0.00206186,0.0077646694117647
r206,25,3,4.72,4,3.73921568627451,3,3,3,9.91e-05,0.002198976,0.00794980588235294
r208,13,3,3.86,3,3.13725490196078,2,3,3,9.32e-05,0.002102608,0.0079046031372549
R209-15,6,2,2.14,2,2.0235294117647,1,2,1,1.47e-05,6.8912e-05,0.000210828431372549
r210,23,3,4.92,4,3.98235294117647,3,3,3,0.0001002,0.002237574,0.00797280294117647
rc102,39,21,24.7,24,22.8470588235294,15,22,20,0.0009767,0.003114546,0.00963997509803921
rc104,23,16,18.44,17,17.4274509803921,11,18,15,0.0018745,0.003082152,0.00937033784313725
rc106,36,18,21.04,19,19.9196078431372,13,18,18,0.0010748,0.003070256,0.0095224768627451
rc108,21,15,16.98,16,16.7058823529411,11,16,14,0.001164,0.002936594,0.00935165823529411
RC108-10,4,3,3.62,3,3.28235294117647,3,3,3,1.01e-05,2.996e-05,0.000104401372549019
RC108-15,5,3,4.58,4,4.15098039215686,3,4,3,2.01e-05,6.3146e-05,0.000219876078431372
