Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
1,53726.1341768541,53692.0625315544,53955.5315673123,52837.7391014615,54022.6002318798,52929.2608704012,53575.91001147,53766.9679778957,54002.0161621006,53010.2996065856,53883.7941270715,52595.3617802092,53835.5686952015,53693.1904422133,53981.2470560856,53018.5055669979,54088.8420823941,52596.6515606057
2,53690.6359567601,53632.2420473317,53781.8649088986,53025.6772634316,53847.4201774875,52496.6528975866,53580.409916233,53748.3872140085,53620.5163282661,53174.7715829572,53677.3376484838,52632.3412270203,53781.721872394,53600.7035009844,53756.2913569303,52892.6983333078,54024.2760302619,52568.9863873442
3,53656.0573131538,53746.1073368961,53729.9799101493,53012.8483235173,53724.1266587675,52518.5568314855,53508.662843068,53726.4179115602,53670.2314355751,53185.9082023736,53637.4378896499,52650.0067743162,53677.5965060218,53567.9968332576,53731.8352446409,52913.5374092394,53863.8932837987,52747.8936920584
4,53648.7836818717,53676.2171420929,53690.4856269123,53251.2154575424,53686.8869910341,52783.6798059739,53437.8260431154,53821.7568476482,53562.7431548309,53217.6851875665,53626.8941858442,52629.3706591376,53543.0871008879,53830.5682053932,53651.3388821237,52939.5634160046,53792.140340991,52631.2140928766
5,53587.2933110987,53643.4994454952,53647.3047755503,53154.4664879243,53700.225363674,52855.7568529355,53354.146247304,53830.6186415478,53556.4871803071,53347.0049528741,53692.3129680039,52750.5923029481,53505.337679066,53788.9408710201,53582.0500935083,52867.3764771726,53752.4856848555,52785.4260007133
6,53608.3010948444,53641.8855149101,53609.9654500535,53170.7919496977,53715.7043843711,52751.1962895618,53319.896390932,53830.6186415478,53492.7698332894,53403.7942998358,53622.7648305215,52757.2244329635,53444.3698222918,53793.5349880369,53559.8806616136,53109.8174202223,53565.6262635573,52806.1929766724
7,53618.5032863267,53648.5654183446,53617.3365392958,53185.0293643559,53673.5785291137,52825.1560995783,53311.6324535492,53830.6186415478,53384.1037189357,53420.87600112,53545.0418372642,52880.0866105876,53403.7521211154,53793.3080036949,53545.2914643484,53089.0274578034,53587.7512546361,52726.2423532486
8,53638.047701566,53682.9530860391,53612.2543248757,53187.2616469586,53598.4343449596,52730.7430118631,53311.6324535492,53830.6186415478,53355.578345877,53399.6705313835,53501.6698744967,52729.260403656,53398.8294787071,53782.6536378255,53512.4930142585,53127.2989590163,53593.9606458087,52834.0282338435
9,53615.2207242879,53788.2700540803,53591.2917902485,53329.4677724684,53598.4308723387,52739.0080377813,53311.6324535492,53830.6186415478,53363.4171669835,53174.831774234,53509.8130569728,53048.4472092262,53413.9569242234,53722.882925761,53462.8886199436,53189.7055501229,53448.4030893019,52908.8313934298
10,53633.1039321955,53809.5334189071,53556.4114447433,53324.0540385734,53594.3945828824,52860.800434925,53307.7843195701,53830.6186415478,53352.9513783565,53053.2307228683,53453.1975952137,53064.5301960147,53389.4196446469,53648.0423195714,53433.5317137612,53129.3832463774,53439.5369260037,52995.9543860383
11,53636.5231958713,53809.5334189071,53509.3027895235,53288.0407875352,53541.4875946979,52845.5629667631,53307.7843195701,53830.6186415478,53355.8469106603,53000.5473195502,53427.2305399359,53090.8918798175,53360.7663038491,53613.3969967093,53379.9319177474,53003.5118411297,53436.4558246999,52913.5171528824
12,53622.3003971909,53809.5334189071,53499.1780269031,53318.4183049551,53535.6564974348,52865.9428672419,53303.936185591,53830.6186415478,53353.5253020619,52909.6280742465,53395.4150508181,53175.8675438897,53323.2614379189,53599.4924314909,53363.4362186689,53009.7520163742,53462.6268061389,52860.5659642262
13,53628.6396248195,53809.5334189071,53499.1780269031,53287.7060754559,53554.3785895674,52842.9839146509,53292.3917836538,53830.6186415478,53345.7507607915,52899.2515863547,53368.6503298975,53014.2619524035,53306.0731215213,53609.0834697627,53307.2416338451,52997.8679749206,53483.9089762124,53003.9641456573
14,53628.6396248195,53830.6186415478,53513.6497752848,53226.6766079229,53554.5219601623,52859.9817305161,53292.3917836538,53830.6186415478,53342.8249584334,52934.0213625775,53357.1872411543,52978.2109190416,53247.2619097074,53593.9197609964,53305.4138410404,52949.3051554544,53493.665519427,53005.8367257122
15,53651.2637971161,53830.6186415478,53525.6013881743,53175.567407401,53548.6195477201,52881.2455472531,53276.4315783128,53830.6186415478,53342.8249584334,52901.8290889108,53339.4559607288,52898.6864035366,53229.4695382928,53607.1149098093,53312.3155215377,52919.2418566156,53462.5388185627,53010.2442960997
16,53651.2637971161,53830.6186415478,53513.4548840733,53152.325326873,53565.4473279332,52849.6022599365,53264.3195069509,53830.6186415478,53339.6347329001,52911.748319011,53348.0297102297,52962.9238077582,53197.8064265701,53604.6589743073,53344.1839120495,52877.9589670529,53424.1115432449,53006.0809467406
