Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
1,85366.4434982258,72933.8650059229,96000.3031771357,67632.0086893818,91776.6847007267
2,85951.6786628142,71498.4006896428,94380.5176541906,66174.2772675182,91227.5278611627
3,82835.7695462107,66357.8699604095,91972.5022821394,64487.8743128674,90738.9877183434
4,81417.961396646,66150.1618434129,87518.7331634227,63736.1010631632,91822.429898577
5,78928.3891500046,65106.6306962035,83884.734584038,63973.3258675353,89550.7401332074
6,72714.2927272449,64646.6748259716,83122.1337901353,64320.2855334132,89894.7179510842
7,71313.2643680696,63288.6653551984,82097.8882237848,63919.8185706197,88941.2401953808
8,71095.3385499337,61959.3487827477,81770.1495146919,64196.805673497,86716.8505477956
9,69538.6159384248,61733.9956598082,81715.0369159129,64038.5400774213,86223.6312542356
10,68842.5972044393,61459.0711555368,81151.6682132936,64881.1563261461,83947.7996757872
11,67268.4190585321,60342.9077171131,79527.4980538212,65139.3671828242,81983.8434734507
12,67385.2089381912,60175.6790691193,78420.7071066384,65102.8645418865,81585.8709447478
13,67088.4443271475,59417.2347952486,77134.7525330705,65149.8715309375,81001.5114100771
14,66503.9421855241,59601.0652377015,76853.1651965884,64801.6229154419,81011.5578718288
15,67219.5253221513,59385.127305216,76443.7301975993,64381.0137516804,81072.8674072648
16,66876.7923569303,59260.9719556665,75759.3918734647,64381.0137516804,80698.9193867709
17,66666.0950150969,59409.7810366819,74908.1844381822,64609.9492291129,80693.040284072
18,65752.8713652412,59400.0800687278,74544.2246467161,64213.9743147167,80297.8860504583
19,65834.051568422,59153.799107934,74313.2450100429,64030.625837605,78471.8731328226
20,64527.8700118824,58830.7390138548,74128.9206703599,63772.1113815999,77881.361915992
21,64256.6733464649,58300.8762854477,74044.3370335641,63160.9072404187,76094.1412817764
22,64127.1129086437,58202.4785424933,73913.8252100424,62405.1054479042,76103.3875797584
23,64002.8283234081,58400.8782519789,73994.6007804295,62555.4950370356,76773.677366791
24,63903.3013971073,58157.2343010827,73928.7075865006,62174.0368499063,75227.5526015574
25,63739.5996597088,58220.8538478041,73651.1183944537,61866.069692898,73704.9319554261
26,63128.2200450772,57784.0388051531,73806.4689059753,61945.9617771951,72673.1178970141
27,63528.8765745475,57698.3788609272,73692.9984552279,61533.630544619,72551.7186489144
28,63167.2586895518,57745.4278820199,73535.0174199554,61633.6919593792,71446.1868389276
29,63367.4194651279,57602.8911611683,73762.97704514,60957.9221529164,71004.6368888818
30,62967.0150771716,57675.843014748,73232.2307156391,60752.1723793317,69760.6903468547
31,62721.7229064134,57896.0545715268,73092.2174608391,60952.1639054176,69820.4384097965
32,63238.5425898233,57796.6724993245,73151.8542481988,60859.2553870731,69625.8300622316
33,62748.4362117071,57215.6390638604,73119.0793273437,60572.5596488488,70049.462036873
34,62202.9409291734,57376.6930257252,73306.323231941,60503.7874543985,69852.3818191565
35,61849.6092421069,57291.1468367816,72978.0951392471,59218.9357851266,70726.9781554668
36,61479.1004000056,57384.2092036536,72799.9622586885,59161.4517966903,69203.6876727906
37,61376.0932139912,57292.1018572605,72763.6919550886,58876.8015386352,69445.8634991694
38,61416.9290628894,57686.2546150037,72628.8952626111,58428.0713342304,68041.8042785851
39,61074.3619004601,57457.9348437881,72619.7890468135,58411.0255452521,67613.6724222393
40,60979.0454019862,57587.5126277072,72613.1742880499,58050.2941726563,67042.0838077707
41,60941.4350456362,57703.8261718018,72298.5716475655,58504.1383459296,66405.8510661045
42,61094.260822928,57383.2053716083,72281.4460610521,57920.0355972698,66483.3382460896
43,60934.1332926527,57486.0462757689,72156.773823723,57906.4239617705,65949.3349719839
44,60806.2187019852,57540.1234074,72233.9809081866,58144.023411752,65559.6906214483
45,60988.3378487351,57566.5966929792,72060.3572728328,58426.4855177654,66186.2433292597
46,61315.4292954314,57512.412730881,72170.0777196565,58131.3618518042,66157.4796886468
47,61227.2351546264,57453.4875033077,72120.2032916011,58315.664428954,65185.6664369971
48,60921.9825635571,57400.9072486165,71995.7234886901,58120.1809373719,65319.2470578
49,61023.6466868686,57503.7613777235,71999.4830717988,58077.5056120927,64674.2221009149
50,60494.2744527318,57403.87705256,71958.9304598753,57776.227311514,63669.5463744795
51,60517.9309085791,57411.1385720474,72094.1509912072,57905.2776931253,63074.2653863519
52,60505.1068275401,57323.8534083304,71785.2941370025,58208.1989322607,63157.1310815408
53,60454.0148562869,57387.4061804707,71650.4313646949,58017.087284642,63265.7345218905
54,60522.9078286074,57300.0898255197,71774.9579950023,58005.2660429504,63167.396861594
55,60382.9510680546,57212.7046578116,71709.2159276333,57893.9704936038,63141.7159813854
56,60492.5121856135,57284.1942260452,71694.9456404982,58046.8589701253,63471.3293940335
57,60239.4895300026,57320.782713708,71555.1326971182,57491.279148189,63317.9453806777
58,60077.735087858,57346.7336106401,71522.5947724707,57223.194534487,63101.7873782202
59,60000.7089652174,57306.9725974661,71430.3435989642,57236.1854311046,63043.2815524343
60,60177.6536293103,57314.3832636226,70805.5352681379,57123.0820630611,62913.6442980357
61,60095.5699817788,57278.7539494431,70731.3331727102,57382.4069018065,62751.0057625572
62,60717.6904107181,57264.4270069292,70731.223810665,57075.7832987915,62677.3107141792
63,60904.214531585,57103.0791445659,70511.3453929657,57118.6610330494,62394.8788300441
64,60765.7463464103,57233.6853639095,70620.8813128163,57087.598558417,62397.2729210418
65,60723.9056474249,57175.2066260275,70620.8640411194,57363.3034425686,62248.2019439838
66,60465.5284190475,57160.5352522297,70377.8151218311,57321.5295502872,61880.3860307361
67,60429.9460139636,57144.5134879662,70286.6119961753,57104.777088834,61749.6528659402
68,60409.5942788305,57140.4382331576,70309.7460330987,57161.671507685,61690.4096407303
69,60481.7631394433,57148.3808290706,70414.7838753937,57353.5387872665,61217.742553951
70,60432.6686121272,57137.6901978765,70302.2052050497,57286.7552494866,61190.9369828819
71,60345.4208113458,57121.7647107342,70363.1284869738,57235.8366206457,61225.3956014865
72,60243.6636449047,57076.0240338986,70315.6408620691,57051.6129165457,61185.6225040993
73,60248.5097498052,57095.6952261044,70204.2954270751,56905.1839905986,61494.6429098227
74,60255.6735115992,57049.5275943791,70192.7097449389,56832.7390459782,61426.2674310738
75,60395.2880336589,56936.8082382368,70192.8389491369,56454.7601652861,60731.9739583284
76,60062.2137903883,56902.8678095732,70155.6105573345,56618.9447849352,60679.2163507648
77,60012.8410093905,56890.6142961418,70136.8745603501,56482.9117731063,60521.0888021376
78,60065.2147425148,56912.5331740897,70089.1433867779,56516.9310817767,60614.3042506746
79,60071.9504021795,56943.4128457621,70100.2984155567,56461.4396455809,61000.0137066358
80,60143.6618291733,56946.8864464149,70055.0976869576,56164.806164822,60658.3118715752
81,60082.6058173238,56951.2972626915,69992.531456568,56549.8178851432,60386.5802662586
82,60134.4936035096,56953.0210628982,69725.3161241733,56561.5866763884,60284.5500948821
