Time(min),GP,S 5 5,V 5 5,S 20 20,V 20 20
1,899.433333333333,864.366666666666,1025.2,763.366666666666,980.333333333333
2,875.3,794.633333333333,984.5,718.133333333333,923.266666666666
3,845.566666666666,739.6,921.333333333333,687.2,890.366666666666
4,824.666666666666,717.033333333333,880.733333333333,669.566666666666,878.766666666666
5,803.866666666666,682.166666666666,857.866666666666,659.4,866.466666666666
6,778.133333333333,664.833333333333,838.2,650.733333333333,859.066666666666
7,754.8,647.666666666666,821.433333333333,641.9,853.733333333333
8,739.366666666666,627.466666666666,813.2,629.233333333333,847.5
9,720.633333333333,615.266666666666,804.9,622.5,844.433333333333
10,711.266666666666,601.733333333333,788.033333333333,611,837.466666666666
11,694.866666666666,594.933333333333,772.733333333333,594.2,833.2
12,680.166666666666,580.233333333333,763.433333333333,593.966666666666,827.133333333333
13,673.066666666666,573.7,753.4,581.733333333333,824.266666666666
14,668.833333333333,568.6,746.1,577.366666666666,818.766666666666
15,661.333333333333,564,736,576.333333333333,812.066666666666
16,650.8,560.733333333333,729.333333333333,576.333333333333,806.566666666666
17,643.566666666666,555.866666666666,722.5,575.733333333333,805.666666666666
18,639.5,549.3,719.833333333333,575.233333333333,803.533333333333
19,631.633333333333,544.4,716.566666666666,572.633333333333,799.1
20,617.9,540.933333333333,712.233333333333,569.733333333333,793.033333333333
21,616.033333333333,536.733333333333,708.6,561.833333333333,781.966666666666
22,610.433333333333,534.3,705.6,557.533333333333,777
23,606.833333333333,530.166666666666,703.833333333333,555.033333333333,768.8
24,602.733333333333,526.766666666666,702.8,554.6,763.366666666666
25,597.2,525,699,550.033333333333,756.8
26,594.7,523.2,696.166666666666,547.6,754.466666666666
27,591.933333333333,521.4,693.5,545.233333333333,750.933333333333
28,588.733333333333,520.733333333333,692.533333333333,542.733333333333,746.333333333333
29,587.133333333333,519.733333333333,690.1,537.666666666666,741.066666666666
30,583.866666666666,518.1,685.1,536.766666666666,735.133333333333
31,581.8,516.933333333333,682.033333333333,532.533333333333,730.5
32,578.066666666666,515.9,680.466666666666,530.833333333333,727.9
