Column_1,Column_2,Column_3,Number of vehicles,Column_5,Column_6,Column_7,Column_8,Column_9,Energy consumption,Column_11,Column_12,Column_13,Column_14,Column_15
,,,Training,,,Test,,,Training,,,Test,,
Combination Method,Ensemble Size,Algorithm,Min,Avg,SD,Min,Avg,SD,Min,Avg,SD,Min,Avg,SD
Sum,3,SEC,395,395,0,348,349.733333333333,2.15921796542688,53246.4548846428,53343.4436364294,144.15894706046,48149.3792473534,48251.2452883834,157.952961122289
,,GA,395,395,0,348,348,0,53246.4548846428,53246.4548846428,1.45519152283668e-11,48149.3792473534,48149.3792473534,1.45519152283668e-11
,,MGA,386,389.366666666666,1.49406232206766,344,350.7,2.38257563713445,52391.4296500542,52897.0715572792,211.039744002715,47610.1395816003,48267.802067009,271.735973139948
,5,SEC,393,394.766666666666,0.55876848714134,344,350.9,2.95916654932882,52788.3975265921,53433.159367387,268.358207400245,47528.4873282058,48327.1935602207,314.77697637325
,,GA,391,392.133333333333,0.991071249821234,351,353.133333333333,1.99555060627943,53247.4606156409,53317.964746255,61.9834685236984,48263.1718775496,48407.6399044579,133.427412847249
,,MGA,386,388.933333333333,1.31487219488773,345,350.5,1.97905701450631,52563.9397355828,52929.6907686444,166.448370846688,48009.6352673045,48320.4279807154,191.960052288467
,7,SEC,391,396.333333333333,1.61932770686548,346,351.166666666666,2.45062350342837,52677.0611521753,53430.5310921367,240.419900225271,47126.7882742738,48057.1847713503,333.050175240536
,,GA,391,391.666666666666,0.699205898780101,347,351.133333333333,1.25786415094087,52786.5802892526,53197.0107146146,100.971314722407,48133.2133660502,48447.2606876493,162.270473105456
,,MGA,386,389.566666666666,1.56382721409865,348,351.533333333333,2.21710521977545,52222.8936484695,53021.8237238999,265.08016257872,47690.6503406494,48289.436534234,243.699931508675
Vote,3,SEC,397,397,0,353,353,0,53830.6186415478,53830.6186415478,0,48602.9656838901,48602.9656838901,7.27595761418342e-12
,,GA,397,397,0,353,353,0,53830.6186415478,53830.6186415478,0,48602.9656838901,48602.9656838901,7.27595761418342e-12
,,MGA,387,390.6,1.68522995463527,343,349.966666666666,3.80774065410039,52402.6148181392,53122.3069415019,292.416288745457,47489.4307468202,48401.355179746,417.604128671528
,5,SEC,393,396.333333333333,1.65998661306516,345,352.866666666666,2.86045839372332,52299.4586415888,53236.0247982176,542.647620067741,46737.3242360628,48054.105000694,536.249171094586
,,GA,390,392.133333333333,1.70749979664875,344,354.566666666666,4.60929013575361,52249.8229862186,52863.1422951761,378.969125059824,47084.1409505891,47803.1571380999,364.568654157933
,,MGA,384,387.966666666666,1.76036612353478,343,350.733333333333,3.83782345723313,51691.8398975036,52505.2028076546,381.127191720815,47016.5123950802,47845.5383045524,324.587235218066
,7,SEC,393,399,2.72029410174708,347,354.233333333333,3.65771634888339,51300.8378200305,53080.1819522722,615.92345966359,45994.5176003574,47835.4781599203,667.454950803199
,,GA,387,388.166666666666,0.687184270936276,348,352.5,2.17178881723492,52148.2929179051,52604.8165288439,256.719358723572,47294.0603307254,47710.9484871466,323.094033928608
,,MGA,385,387.333333333333,1.3984117975602,346,350.233333333333,2.78906595276785,52208.5430595466,52607.2946107077,258.54947358106,46957.2226940352,47701.1701474088,340.44977286264
,,RPs,397,444.66,20.7659432725797,353,393.76,18.712092346929,50882.525247071,55944.6836199404,3756.44978612987,46435.6284613078,50581.1585023823,3280.92479226237
