"Figure 10 (right). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP depth. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
1,4.6,4,4.411111111,3.7,4.233333333
2,5.633333333,4.244444444,4.166666667,4.055555556,3.944444444
3,6,4.311111111,4.155555556,3.533333333,4.155555556
4,6.866666667,3.988888889,4.266666667,3.388888889,4.211111111
5,6.733333333,4.166666667,4.466666667,3.577777778,4.3
6,7,4.555555556,4.366666667,3.333333333,4.288888889
7,7.333333333,4.622222222,4.522222222,3.622222222,4.322222222
8,7.633333333,4.4,4.577777778,3.822222222,4.3
9,7.333333333,4.711111111,4.611111111,4,4.266666667
10,7.566666667,4.911111111,4.6,4.022222222,4.277777778
11,7.3,4.811111111,4.488888889,4.333333333,4.222222222
12,7.466666667,4.822222222,4.444444444,4.311111111,4.455555556
13,7.633333333,4.866666667,4.444444444,4.4,4.344444444
14,7.6,4.966666667,4.388888889,4.655555556,4.322222222
15,7.566666667,4.966666667,4.455555556,4.622222222,4.477777778
16,7.566666667,5.055555556,4.455555556,4.655555556,4.888888889
17,7.7,5.133333333,4.5,4.644444444,4.877777778
18,7.766666667,5.133333333,4.511111111,4.777777778,4.888888889
19,7.7,5.311111111,4.433333333,5.088888889,5.022222222
20,7.733333333,5.311111111,4.433333333,5.088888889,4.888888889
21,7.833333333,5.4,4.422222222,5.255555556,5.044444444
22,7.833333333,5.466666667,4.588888889,5.177777778,5.077777778
23,7.633333333,5.633333333,4.566666667,5.133333333,5.177777778
24,7.666666667,5.655555556,4.566666667,5.111111111,5.211111111
25,7.6,5.744444444,4.755555556,5.188888889,5.344444444
26,7.6,5.677777778,4.611111111,5.233333333,5.344444444
27,7.666666667,5.722222222,4.722222222,5.288888889,5.388888889
28,7.566666667,5.766666667,4.766666667,5.288888889,5.377777778
29,7.666666667,5.8,4.766666667,5.422222222,5.422222222
30,7.766666667,5.7,4.666666667,5.577777778,5.466666667
31,7.7,5.622222222,4.677777778,5.411111111,5.422222222
32,7.733333333,5.755555556,4.788888889,5.477777778,5.455555556
33,7.8,5.855555556,4.833333333,5.466666667,5.488888889
34,7.833333333,5.822222222,4.844444444,5.444444444,5.633333333
35,7.833333333,5.944444444,4.777777778,5.488888889,5.8
36,7.8,5.911111111,4.888888889,5.433333333,5.711111111
37,7.733333333,5.888888889,4.944444444,5.5,5.633333333
38,7.866666667,5.9,4.977777778,5.5,5.666666667
39,7.833333333,5.911111111,5.144444444,5.588888889,5.533333333
40,7.833333333,5.988888889,5.055555556,5.622222222,5.444444444
41,7.933333333,5.955555556,4.944444444,5.6,5.611111111
42,7.933333333,5.888888889,4.988888889,5.6,5.7
43,7.933333333,5.955555556,5.088888889,5.688888889,5.777777778
44,7.933333333,5.944444444,5.122222222,5.7,5.855555556
45,7.933333333,6.011111111,4.944444444,5.766666667,5.788888889
46,7.9,6,5.088888889,5.766666667,5.788888889
47,7.9,5.944444444,5.088888889,5.744444444,5.833333333
48,7.866666667,5.955555556,5.166666667,5.788888889,5.722222222
49,7.866666667,6.044444444,5.211111111,5.8,5.733333333
50,7.9,6.044444444,5.233333333,5.811111111,5.755555556
51,7.866666667,6.055555556,5.244444444,5.8,5.833333333
52,7.866666667,6.066666667,5.355555556,5.8,5.722222222
53,7.9,6.055555556,5.3,5.866666667,5.755555556
54,7.866666667,6.088888889,5.166666667,5.944444444,5.777777778
55,7.866666667,6.077777778,5.444444444,5.988888889,5.822222222
56,7.8,6.066666667,5.644444444,5.944444444,5.811111111
57,7.866666667,6.033333333,5.555555556,6.066666667,5.877777778
58,7.833333333,6.022222222,5.711111111,6.044444444,5.922222222
59,7.866666667,6.033333333,5.644444444,6.033333333,6.011111111
60,7.866666667,6.033333333,5.566666667,6.044444444,6.033333333
61,7.866666667,6.055555556,5.8,6,6.2
62,7.866666667,6.044444444,5.911111111,5.977777778,6.222222222
63,7.866666667,6.1,5.911111111,5.955555556,6.244444444
64,7.866666667,6.044444444,5.944444444,5.977777778,6.177777778
65,7.9,6.055555556,6,6,6.166666667
66,7.9,6.077777778,5.966666667,6.055555556,6.1
67,7.866666667,6.077777778,5.888888889,6.011111111,6.1
68,7.866666667,6.077777778,5.9,6.088888889,6.122222222
69,7.866666667,6.122222222,5.922222222,6.144444444,6.111111111
70,7.866666667,6.133333333,5.711111111,6.166666667,6.033333333
