"Figure 10 (left). Evolution of the structural complexity of the RPs generated by GP and MGA, measured in terms of average RP size. Results are averaged over 30 independent runs.",Column_2,Column_3,Column_4,Column_5,Column_6
,,,,,
Time_min,GP,S 5 5,S 20 20,V 5 5,V 20 20
1,27.56666667,22.74444444,21.14444444,16.83333333,18.42222222
2,24.5,28.92222222,16.06666667,23.15555556,16.61111111
3,25.93333333,27.07777778,13.75555556,12.36666667,17.27777778
4,34.4,20.33333333,15.91111111,12.03333333,16.76666667
5,31,21.15555556,18.04444444,14.63333333,17.8
6,29.63333333,26.26666667,17.87777778,10.81111111,17.01111111
7,36,26.27777778,19.36666667,11.98888889,16.8
8,37.4,22.33333333,18.47777778,14.3,16.91111111
9,37.56666667,23.55555556,19.3,15.71111111,16.37777778
10,36.56666667,26.58888889,17.88888889,15.03333333,15.75555556
11,34.8,24.48888889,16.28888889,16.65555556,15.54444444
12,36.83333333,24.56666667,16.05555556,15.05555556,18.98888889
13,40.26666667,25.55555556,14.26666667,15.34444444,18.84444444
14,38.36666667,25.88888889,14,15.9,18.53333333
15,38.2,24.92222222,14.16666667,15.74444444,20.01111111
16,40.1,25.88888889,14.16666667,16.7,21.56666667
17,40.53333333,25.61111111,15.03333333,16.62222222,21.56666667
18,42.06666667,26.16666667,14.91111111,15.35555556,22.31111111
19,42.3,26.08888889,14.63333333,17.25555556,23.1
20,41.7,26.65555556,15.74444444,17.5,22.74444444
21,42.13333333,26.71111111,15.22222222,17.61111111,24.08888889
22,42.56666667,26.31111111,15.58888889,16.8,22.96666667
23,41.5,27.45555556,15.61111111,16.54444444,21.56666667
24,41.73333333,26.23333333,15.86666667,16.41111111,21.44444444
25,41.06666667,26.42222222,16.78888889,16.6,23.96666667
26,41.8,25.55555556,15.87777778,17,24.05555556
27,43.9,25.64444444,16.22222222,17,24.13333333
28,44.06666667,26.48888889,17.08888889,18.15555556,22.62222222
29,45.4,26.61111111,15.74444444,18.87777778,24.24444444
30,45.4,25.75555556,15.33333333,19.52222222,24.92222222
31,44.73333333,24.5,15.17777778,17.86666667,24.17777778
32,46.16666667,24.8,14.55555556,18.05555556,24.86666667
33,46.63333333,26.46666667,14.42222222,17.18888889,23.18888889
34,46.5,26.33333333,15.33333333,17.03333333,24.27777778
35,46.66666667,26.55555556,13.98888889,17.96666667,26.78888889
36,47.46666667,25.91111111,15.61111111,16.96666667,24.26666667
37,46.5,25.86666667,16.25555556,17.16666667,24.46666667
38,47.23333333,26.04444444,16.31111111,17.37777778,25.62222222
39,46.7,26.24444444,17.3,18.61111111,24.71111111
40,46.6,26.72222222,16.45555556,18.63333333,24.63333333
41,47.26666667,25.91111111,15.45555556,17.67777778,25.92222222
42,47.06666667,25.36666667,15.71111111,17.73333333,25.95555556
43,47.36666667,25.75555556,16.51111111,18.74444444,27.88888889
44,46.4,25.92222222,16.46666667,18.77777778,28.08888889
45,46.83333333,26.21111111,15.3,18.97777778,27.01111111
46,45.73333333,26.17777778,16.58888889,19.05555556,27.55555556
47,48.23333333,25.94444444,16.71111111,19.33333333,27.92222222
48,47.6,25.86666667,16.86666667,19.52222222,26.01111111
49,47.46666667,26.27777778,17.01111111,19.56666667,24.6
50,47.76666667,25.68888889,17.15555556,19.6,24.25555556
51,47.33333333,25.66666667,16.35555556,18.98888889,25.45555556
52,47.56666667,25.73333333,17.81111111,19.28888889,22.88888889
53,46.86666667,25.54444444,18.4,19.6,22.06666667
54,46.96666667,25.61111111,16.41111111,19.81111111,21.48888889
55,46.76666667,25.61111111,18.21111111,19.9,21.6
56,46.1,25.57777778,20.5,19.73333333,21.61111111
57,46.53333333,25.6,19.24444444,20.28888889,21.95555556
58,46.86666667,25.54444444,20.24444444,20.35555556,24.01111111
59,46.73333333,25.56666667,19.95555556,20.36666667,23.65555556
60,46.4,25.58888889,19.8,20.17777778,23.92222222
61,46,25.65555556,22.23333333,20.22222222,24.48888889
62,47.23333333,25.63333333,22.7,20.37777778,24.08888889
63,47.5,26.35555556,23.57777778,20.3,25.35555556
64,47.8,25.75555556,22.92222222,20.45555556,25.18888889
65,50.66666667,25.76666667,21.44444444,20.51111111,25.6
66,49.83333333,25.77777778,21.41111111,20.57777778,24.61111111
67,49.66666667,25.85555556,20.82222222,20.26666667,24.38888889
68,51.26666667,25.72222222,21.17777778,20.45555556,23.96666667
69,51.43333333,25.9,21.06666667,20.74444444,22.63333333
70,51.46666667,25.87777778,19.27777778,20.94444444,21.91111111
