"Figure 12 (top-left). Boxplots of the number of vehicles obtained on the training set using MGA with various configurations of parameters N_s and p_l. Each configuration name indicates ensemble size, p_l, N_s, and the combination method used is sum (S) or vote (V). ",Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,,,,,,,,,,,,,,,,,,,,,,,
3 5 5 V,3 20 5 V,3 5 20 V,3 20 20 V,5 5 5 V,5 20 5 V,5 5 20 V,5 20 20 V,7 5 5 V,7 20 5 V,7 5 20 V,7 20 20 V,3 5 5 S,3 20 5 S,3 5 20 S,3 20 20 S,5 5 5 S,5 20 5 S,5 5 20 S,5 20 20 S,7 5 5 S,7 20 5 S,7 5 20 S,7 20 20 S
390,384,386,390,390,388,389,397,389,392,389,392,387,386,388,389,390,389,386,387,389,390,390,389
392,388,388,387,390,386,385,396,387,390,385,395,391,386,386,388,390,389,388,392,386,386,389,393
391,391,386,388,388,384,387,397,385,391,386,398,386,386,387,384,390,388,387,391,390,391,390,392
390,389,390,387,390,389,386,392,388,389,388,396,388,387,387,388,387,389,387,390,391,389,388,393
390,388,389,390,390,388,387,388,387,388,388,393,390,386,388,387,390,388,387,390,387,390,389,390
394,388,387,389,387,390,386,394,387,386,388,395,390,387,388,388,390,388,387,389,390,389,390,390
392,385,387,388,384,389,387,394,389,387,388,391,391,387,388,387,386,389,387,389,392,389,389,393
393,388,385,384,388,390,390,395,388,388,389,398,390,387,387,389,387,386,387,390,389,391,389,390
388,389,392,387,390,389,390,396,387,388,386,392,391,386,386,389,387,389,387,391,389,389,389,392
391,389,390,388,387,389,389,389,387,388,387,399,389,386,387,387,389,389,388,388,389,390,390,390
391,389,389,389,386,389,388,392,386,388,386,391,389,388,386,388,386,389,388,391,388,389,388,391
391,387,389,389,388,389,387,391,388,390,387,392,389,386,387,387,390,388,387,389,389,390,389,394
389,387,388,390,390,389,387,388,387,390,387,393,390,389,387,387,390,387,387,389,391,389,390,392
389,385,389,388,388,387,386,396,390,387,383,390,387,390,387,387,388,389,388,391,387,389,390,387
391,389,387,388,390,387,387,390,389,387,386,393,388,385,386,387,389,389,387,389,391,391,389,394
392,390,389,388,390,386,386,393,386,387,386,394,388,387,386,384,389,388,389,389,389,390,390,393
391,388,389,385,387,390,388,393,388,389,388,390,389,387,387,385,390,387,384,387,390,390,389,394
390,386,390,387,385,388,388,392,387,387,388,393,388,384,388,387,388,388,389,388,388,391,388,392
392,387,389,391,386,389,389,395,387,388,388,394,390,386,384,387,389,388,388,391,392,392,390,392
390,389,387,389,389,388,389,391,388,390,387,393,392,386,387,389,389,387,388,390,389,390,389,391
391,388,388,390,388,388,385,391,390,389,385,395,390,386,386,388,389,387,385,390,390,391,388,393
388,389,390,389,389,389,387,399,388,389,387,395,390,388,387,386,390,388,388,389,391,391,387,391
392,385,386,386,389,388,387,391,385,391,388,396,390,386,387,388,390,389,389,390,391,388,390,392
387,390,389,389,388,388,387,392,387,389,388,391,390,388,386,388,388,386,388,389,387,389,389,388
391,390,389,388,388,389,387,392,390,387,386,399,387,390,388,387,388,388,387,388,391,391,388,390
393,388,390,389,386,388,391,391,386,392,386,396,390,385,387,389,390,389,387,391,389,391,391,393
387,387,390,391,384,387,385,389,386,387,388,397,392,389,389,387,391,389,388,391,392,390,390,391
389,387,389,391,387,386,387,393,386,391,387,392,390,387,386,386,388,389,387,390,390,389,391,390
392,390,389,386,389,387,386,390,387,389,386,393,391,389,388,388,390,386,385,389,389,390,391,391
391,391,389,391,388,387,387,395,385,387,387,395,388,388,388,387,390,390,388,389,391,390,390,391
