Figure 13 (bottom-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of individual RPs that are different from the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
1,0.585501443001443,0.542359307359307,0.81074074074074,0.782089947089947
2,0.57062577409902,0.512837199388541,0.816117524450857,0.757169312169312
3,0.558401401434415,0.504341972086537,0.803489565989565,0.753478991959384
4,0.549624703099666,0.491335386568429,0.797194942856707,0.748568230733618
5,0.537226280401491,0.485981230008992,0.802614247676481,0.729050502641234
6,0.527804472587387,0.477836571193078,0.806456541028805,0.7294399004938
7,0.52101316038782,0.475518905139462,0.799819082411439,0.717949654491794
8,0.515949852952196,0.469084375057644,0.801471409774863,0.710613586150941
9,0.511388661856948,0.465158809531058,0.799500528352553,0.707352097026146
10,0.50641453257681,0.46109373568037,0.790144553243567,0.698688252350166
11,0.502949017604888,0.457475164654664,0.788876602668127,0.694050326708049
12,0.499697106934273,0.454530574245921,0.788084667386687,0.696055450352551
13,0.498695298356283,0.453294818377938,0.783240980548812,0.693905639559829
14,0.496489122615169,0.452763099302859,0.779958109816957,0.695636633533982
15,0.495597152650756,0.451426457267621,0.775475718257994,0.693271938332187
16,0.494763047383849,0.450420854841426,0.770094071250658,0.690396389321912
17,0.492894329660311,0.448966764039762,0.766833199637548,0.687424754121596
18,0.491277642546498,0.448376398573329,0.762135572320443,0.686474318142726
19,0.490489740411809,0.448225406906663,0.760511186161866,0.684774021722901
20,0.489964778259164,0.447120901807558,0.756450911899143,0.681082297184944
21,0.489613897254241,0.446696392765677,0.752022901097651,0.679586815576044
22,0.488455236371738,0.446279832823425,0.74696559943543,0.675972951192266
23,0.487771719669454,0.44578218506284,0.743205869062384,0.674741953550927
24,0.487107289544901,0.445513634779935,0.739241417590872,0.673686364482176
25,0.48610470227429,0.445098390669903,0.735333226205627,0.670242954133626
26,0.485370582293553,0.445077452695247,0.732307328594628,0.668772710454991
27,0.484763999013008,0.444076405991298,0.730344473356748,0.665860997955006
28,0.483771176117335,0.443532023137604,0.727894053311888,0.663575289840317
29,0.483538414296985,0.44322674163569,0.725394740080631,0.662029031476316
30,0.48292927871239,0.443203386847886,0.721792744115111,0.658789525727129
31,0.483500018737616,0.443264176185588,0.718682364260589,0.657355162781573
32,0.482506979164889,0.443615671769406,0.715500453962301,0.656018965529037
33,0.482549116661473,0.443714661860852,0.712711762509607,0.653195929887642
34,0.482768406388408,0.443500321523804,0.709927038216702,0.649782621582058
35,0.482981412546502,0.443288946031196,0.707365526705082,0.648242434783105
36,0.482565682229734,0.442970886675069,0.705675390403198,0.645086114050855
37,0.481985595578779,0.442829382957147,0.702548295862049,0.643838398251199
38,0.482114192921231,0.442226786124504,0.699819194351509,0.642207329728832
39,0.482694783897994,0.442377047024353,0.697496914920092,0.640311161962494
40,0.482714747614608,0.44276531210001,0.695497295420792,0.638662474225479
41,0.483116971480445,0.442933392826473,0.692172231511741,0.637331819900259
42,0.483443904587366,0.443300768256694,0.68913004334261,0.634984927951255
43,0.483513648867792,0.442814392844882,0.686376362849512,0.634087196986231
