Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
1,0.185358768696079,0.0942550891422836,0.382880661157669,0.171144055734342
2,0.160685148973106,0.0732923465675915,0.377447998460211,0.180476878745126
3,0.141965043605872,0.0690324117965912,0.364597616499252,0.17583133690728
4,0.128948175938667,0.0683412985981564,0.357780691912549,0.169151782025084
5,0.118869176085372,0.0666958431994241,0.359497089375127,0.158300986600945
6,0.111768562842564,0.0673736972105465,0.358296294316425,0.155792985527034
7,0.106936366025343,0.0712959313401271,0.354119777649438,0.14972447273742
8,0.103255678683388,0.0746217329718075,0.350624397029006,0.145968280668656
9,0.100324480252976,0.07669064397226,0.34534276073617,0.14210184685723
10,0.0993631312465227,0.0780659313706378,0.34005277145978,0.135808378172956
11,0.0969810838128175,0.0807170403848872,0.334916565672996,0.132102969773786
12,0.0950371587795768,0.0823264126474782,0.329663319917616,0.131003553507741
13,0.0938925693804274,0.0833858834916646,0.324384224393973,0.129629619871845
14,0.0930474739758098,0.0839245784938385,0.318801125359787,0.129387839624078
15,0.0929455304347311,0.083164641537218,0.312695580436188,0.12782008732536
16,0.0931477117631249,0.0826569419725189,0.306590576925999,0.126952868604226
17,0.0931457450508129,0.082795803957251,0.302178336838482,0.125229941977024
18,0.0929992171296201,0.0840460030421002,0.296923978264629,0.123811220603865
19,0.092213941981865,0.0846603024693037,0.292357832723437,0.122427825849193
20,0.0919759007166801,0.0849708448822146,0.286823466818492,0.121047761526035
21,0.0918045742359523,0.0853561260374231,0.28111699980762,0.120533819077148
22,0.0915801263208276,0.0851747671751212,0.274475559931422,0.119237820716884
23,0.0910465676844294,0.085452476513483,0.269891758460111,0.118215313775206
24,0.091069415919561,0.0853016266542657,0.26493619993801,0.117066579834536
25,0.09087806645716,0.085007717284455,0.26228902137415,0.115602829869826
26,0.0907059521262551,0.0850017233719647,0.258006470552052,0.115249269079588
27,0.090727761283694,0.0850016539175929,0.255736019997026,0.113788809315759
28,0.0907929389475859,0.0853300574823982,0.25103497538928,0.112931971731711
29,0.0905060265221882,0.0854196687935715,0.248346386615184,0.11168077092876
30,0.0908387671293943,0.0854195611807284,0.24418974127286,0.110653970983259
31,0.0908516436266982,0.0858141100373135,0.240540022777881,0.109890842726106
32,0.0907558499882723,0.0861322658689584,0.236258332965468,0.109202414571881
33,0.0908559425833476,0.0864927204973822,0.232877794759782,0.108190429369293
34,0.0908545803350516,0.086697699136285,0.229467352955332,0.107283754764264
35,0.0914363686233947,0.0868525532339294,0.227281775928872,0.106442785614526
36,0.0912968282791162,0.0869381061927742,0.225228435609262,0.105417051748067
37,0.0911961306116565,0.0869734907172226,0.221928921486242,0.104573186194288
38,0.0911913014893558,0.0868094424199408,0.219826877084196,0.103675381744946
39,0.0913560218296729,0.0867045192535605,0.217423172576684,0.102680362439137
40,0.0915084927657835,0.0868599339510829,0.214464175512075,0.101717379419903
41,0.091704469774716,0.0869083005593965,0.211310585427082,0.101295654785106
