Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
1,0.813209336959337,0.667730580965875,0.995238095238095,0.974814814814814
2,0.761549946751866,0.62873942486156,0.994705882352941,0.954458504458504
3,0.732360730423321,0.604604920079678,0.992818292818292,0.952871591915709
4,0.690000046338896,0.578418964436323,0.987692697216186,0.950862384762304
5,0.669295533150452,0.529611622290748,0.983964580254053,0.947155570859498
6,0.640691954350359,0.481740571628543,0.979320576798662,0.942377173380803
7,0.614711813958857,0.446489237533122,0.975008765167511,0.93972058346625
8,0.596700855819018,0.407857364341649,0.970539917827343,0.931547717147235
9,0.57721252814845,0.379710580118606,0.961115517902237,0.914452235405353
10,0.564043419876529,0.364717269680598,0.958157716444833,0.90827705428087
11,0.550062358344554,0.354835618443836,0.957797564190731,0.894564158969812
12,0.544661717987839,0.3439082180967,0.952281432272019,0.887345503660366
13,0.534990555111957,0.338334422440028,0.948366475522881,0.885316663137155
14,0.527793595971939,0.33365785944885,0.938310159333096,0.874428494645683
15,0.518822253603513,0.329863616182699,0.936128118374669,0.870464873777855
16,0.511497629530387,0.326890466423312,0.9300977459017,0.867653009100471
17,0.507422011929069,0.322147559788573,0.927097193677177,0.864240025862595
18,0.500427297805839,0.319709887257609,0.919560753293461,0.86080892536362
19,0.496539667114222,0.315325894293129,0.91281180800155,0.858350464748421
20,0.49046591974208,0.312121878543936,0.912587400161871,0.855837060041699
21,0.485376468206368,0.310069817660651,0.90502020104585,0.856228323468234
22,0.483159321483249,0.307364752880813,0.900571677954101,0.852116811074304
23,0.478929253267151,0.304532673511152,0.893998691493973,0.845739949801997
24,0.474681526858035,0.302548363847355,0.891610414391964,0.844847129925303
25,0.471020470951756,0.300151504400774,0.887898596412156,0.841459397820099
26,0.468696379950206,0.297921418013931,0.880947736627758,0.841306078872041
27,0.465036786263526,0.29667014399564,0.875134851898081,0.838698776288589
28,0.461995131703962,0.294474747747764,0.869904639957679,0.835888656555889
29,0.459282236117784,0.292199996099766,0.868493752387185,0.832803806069844
30,0.457601015053214,0.289482818645193,0.862914339119386,0.830788967485698
31,0.453923450334835,0.289091728237935,0.858414276150415,0.828422423162278
32,0.452139404080904,0.287813321722931,0.855169296598704,0.824666050264958
33,0.450175162736141,0.286460605944379,0.853576193868873,0.821871124289356
34,0.448739898198833,0.285737837933295,0.850388281757832,0.816833971778968
35,0.44589386127096,0.284334962672667,0.850438040014164,0.812314428735584
36,0.443536419205411,0.283606648044617,0.849082759338047,0.808976012069777
37,0.441869335735581,0.28179981534212,0.84561222326045,0.804844568946395
38,0.439656292905608,0.280466113525099,0.843070182916572,0.801034452019126
39,0.438999576002086,0.2802843648186,0.83927905760565,0.797585005502444
40,0.436651428378061,0.279144329638032,0.835419230820813,0.794783618103115
41,0.43459959416878,0.277892451963191,0.833811398090593,0.791291337332477
42,0.432606383873768,0.277057555256698,0.832576733300188,0.786586794107334
43,0.431071502861382,0.275617606176103,0.8317250075865,0.782191475428316
