"Figure 15. Mean number of vehicles on the complete set of 92 Schneider instances. External constructive results are taken from [11], while the RP results are from [9,10] and the VNS/TS results from [4].",Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,,,,,,,,,,,,
Method,Mean,Total,,,,,,,,,,
Avg. RP,9.113260869565218,838.4200000000001,,,,,,,,,,
Best Ensemble,7.978260869565218,734,,,,,,,,,,
Avg. Ensemble,8.500447569989133,782.0411764390002,,,,,,,,,,
PEGA-EV,8.847826086956522,814,,,,,,,,,,
EDD,9.728260869565217,895,,,,,,,,,,
NN (PEGA-EV),11.967391304347826,1101,,,,,,,,,,
RS,15.98913043478261,1471,,,,,,,,,,
VNS/TS,5.576086956521739,513,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Instance,Class,Subtype,Scale,Customers,Avg. RP,Best Ensemble,Avg. Ensemble,PEGA-EV,EDD,NN (PEGA-EV),RS,VNS/TS
c101C10,C,C1,Small,10,5.06,5,5.009803922,4,4,5,7,3
c101C5,C,C1,Small,5,3.54,3,3.021568627,3,3,3,3,2
c103C15,C,C1,Small,15,4.9,5,4.854901961,5,5,5,6,3
c103C5,C,C1,Small,5,1.7,2,1.990196078,2,2,2,2,1
c104C10,C,C1,Small,10,2.46,3,2.917647059,2,3,2,3,2
c106C15,C,C1,Small,15,4.18,3,3.97254902,4,5,5,5,3
c202C10,C,C2,Small,10,2.02,2,2.039215686,2,2,3,5,1
c202C15,C,C2,Small,15,3.38,2,2.929411765,3,3,4,4,2
c205C10,C,C2,Small,10,2.22,2,2.056862745,3,2,3,3,2
c206C5,C,C2,Small,5,1.54,1,1.129411765,1,2,1,3,1
c208C15,C,C2,Small,15,2.28,2,2.1,3,2,4,4,2
c208C5,C,C2,Small,5,1,1,1.02745098,1,1,1,2,1
r102C10,R,R1,Small,10,4.7,5,5.005882353,4,4,6,6,3
r102C15,R,R1,Small,15,6.96,7,7.119607843,8,6,8,8,4
r103C10,R,R1,Small,10,3.36,3,3.054901961,4,3,4,4,2
r104C5,R,R1,Small,5,2.18,2,2.02745098,2,2,2,3,2
r105C15,R,R1,Small,15,5.2,5,5.1,4,4,8,7,4
r105C5,R,R1,Small,5,3,3,2.998039216,2,2,4,3,2
