"Figure 16. Comparison for the training and test instances. External constructive results are taken from [11]; Avg. RP and Avg. Ensemble represent the average results obtained by the individual RPs and ensembles, respectively; VNS/TS is from [4].",Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14
,,,,,,,,,,,,,
Training,,,,,,,,,,,,,
Instance,Split,Class,Subtype,Scale,Customers,Avg. RP,Best Ensemble,Avg. Ensemble,VNS/TS,EDD,NN (PEGA-EV),RS_K,PEGA-EV
c101C5,Training,C,C1,Small,5,3.54,3,3.021568627,2,3,3,3,3
c206C5,Training,C,C2,Small,5,1.54,1,1.129411765,1,2,1,3,1
r104C5,Training,R,R1,Small,5,2.18,2,2.02745098,2,2,2,3,2
r202C5,Training,R,R2,Small,5,1.02,1,1.019607843,1,1,2,2,1
rc105C5,Training,RC,RC1,Small,5,3.44,3,3.190196078,2,3,4,4,4
rc204C5,Training,RC,RC2,Small,5,1.28,1,1.001960784,1,2,2,1,1
c101C10,Training,C,C1,Small,10,5.06,5,5.009803922,3,4,5,7,4
c202C10,Training,C,C2,Small,10,2.02,2,2.039215686,1,2,3,5,2
r102C10,Training,R,R1,Small,10,4.7,5,5.005882353,3,4,6,6,4
r201C10,Training,R,R2,Small,10,2.22,1,1.317647059,1,2,5,3,3
rc102C10,Training,RC,RC1,Small,10,5.06,5,5.115686275,4,5,6,6,5
rc201C10,Training,RC,RC2,Small,10,2.18,2,2.054901961,1,2,6,4,3
c103C15,Training,C,C1,Small,15,4.9,5,4.854901961,3,5,5,6,5
c202C15,Training,C,C2,Small,15,3.38,2,2.929411765,2,3,4,4,3
r102C15,Training,R,R1,Small,15,6.96,7,7.119607843,4,6,8,8,8
r202C15,Training,R,R2,Small,15,2.48,3,2.605882353,2,3,4,4,3
rc103C15,Training,RC,RC1,Small,15,5.28,5,5.150980392,4,6,7,6,7
rc202C15,Training,RC,RC2,Small,15,2.76,2,2.158823529,2,3,5,5,3
c101_21,Training,C,C1,Large (100 customers),100,18.2,16,17.41568627,12,18,27,40,15
c103_21,Training,C,C1,Large (100 customers),100,18,14,15.87254902,10,18,25,27,17
c105_21,Training,C,C1,Large (100 customers),100,16.7,16,16.54313725,11,16,23,38,15
c107_21,Training,C,C1,Large (100 customers),100,16.42,14,15.34705882,11,14,22,35,15
c109_21,Training,C,C1,Large (100 customers),100,13.66,12,13.40196078,10,17,17,25,13
c202_21,Training,C,C2,Large (100 customers),100,6.76,5,6.52745098,4,7,14,23,7
c204_21,Training,C,C2,Large (100 customers),100,5.88,4,5.380392157,4,8,9,12,6
c206_21,Training,C,C2,Large (100 customers),100,5.54,4,4.921568627,4,7,10,17,5
c208_21,Training,C,C2,Large (100 customers),100,5.14,4,4.733333333,4,5,9,15,5
r101_21,Training,R,R1,Large (100 customers),100,30.96,26,28.81764706,18,29,42,44,29
r103_21,Training,R,R1,Large (100 customers),100,22.4,19,21.2,13,25,31,36,23
r105_21,Training,R,R1,Large (100 customers),100,25.36,24,25.44901961,14,24,32,38,23
r107_21,Training,R,R1,Large (100 customers),100,20.18,19,18.65294118,12,24,26,33,21
r109_21,Training,R,R1,Large (100 customers),100,19.6,18,19.52941176,12,21,23,31,20
r111_21,Training,R,R1,Large (100 customers),100,18.22,17,17.75686275,12,22,22,27,19
r201_21,Training,R,R2,Large (100 customers),100,6.34,4,4.92745098,3,6,14,19,7
r203_21,Training,R,R2,Large (100 customers),100,5.4,4,4.425490196,3,7,11,16,5
r205_21,Training,R,R2,Large (100 customers),100,4.72,3,3.674509804,3,5,9,12,4
r207_21,Training,R,R2,Large (100 customers),100,3.94,3,3.276470588,2,7,7,11,4
r209_21,Training,R,R2,Large (100 customers),100,4.52,3,3.61372549,3,6,7,10,4
r211_21,Training,R,R2,Large (100 customers),100,3.64,3,3.21372549,2,5,5,8,3
rc101_21,Training,RC,RC1,Large (100 customers),100,25.72,25,25.39411765,16,27,29,36,26
rc103_21,Training,RC,RC1,Large (100 customers),100,21.08,19,19.49803922,13,22,20,31,21
rc105_21,Training,RC,RC1,Large (100 customers),100,22.54,19,21.51960784,14,24,25,35,22
rc107_21,Training,RC,RC1,Large (100 customers),100,17.64,16,17.03333333,12,22,18,29,21
rc201_21,Training,RC,RC2,Large (100 customers),100,7.76,5,5.770588235,4,8,14,19,7
rc203_21,Training,RC,RC2,Large (100 customers),100,6.02,4,4.915686275,3,7,10,16,5
rc205_21,Training,RC,RC2,Large (100 customers),100,7.08,5,5.874509804,3,7,12,17,8
rc207_21,Training,RC,RC2,Large (100 customers),100,5.24,4,4.409803922,3,7,7,10,5
,,,,,Total,444.6599999999999,384,415.8490195969999,274,473,598,790,437
Test,,,,,,,,,,,,,
Instance,Split,Class,Subtype,Scale,Customers,Avg. RP,Best Ensemble,Avg. Ensemble,VNS/TS,EDD,NN (PEGA-EV),RS_K,PEGA-EV
c103C5,Test,C,C1,Small,5,1.7,2,1.990196078,1,2,2,2,2
c208C5,Test,C,C2,Small,5,1,1,1.02745098,1,1,1,2,1
r105C5,Test,R,R1,Small,5,3,3,2.998039216,2,2,4,3,2
r203C5,Test,R,R2,Small,5,1.28,1,1.02745098,1,1,2,2,2
rc108C5,Test,RC,RC1,Small,5,2.78,3,3.005882353,1,2,2,3,2
rc208C5,Test,RC,RC2,Small,5,1,1,1.001960784,1,1,2,2,1
c104C10,Test,C,C1,Small,10,2.46,3,2.917647059,2,3,2,3,2
c205C10,Test,C,C2,Small,10,2.22,2,2.056862745,2,2,3,3,3
r103C10,Test,R,R1,Small,10,3.36,3,3.054901961,2,3,4,4,4
r203C10,Test,R,R2,Small,10,1.24,1,1.021568627,1,1,2,1,1
rc108C10,Test,RC,RC1,Small,10,3.62,3,3.282352941,3,4,4,4,4
rc205C10,Test,RC,RC2,Small,10,2.94,2,2.119607843,2,3,5,3,3
c106C15,Test,C,C1,Small,15,4.18,3,3.97254902,3,5,5,5,4
c208C15,Test,C,C2,Small,15,2.28,2,2.1,2,2,4,4,3
r105C15,Test,R,R1,Small,15,5.2,5,5.1,4,4,8,7,4
r209C15,Test,R,R2,Small,15,2.14,2,2.023529412,1,2,3,3,2
rc108C15,Test,RC,RC1,Small,15,4.58,4,4.150980392,3,5,4,4,4
rc204C15,Test,RC,RC2,Small,15,2.04,2,2.021568627,1,2,3,3,2
c102_21,Test,C,C1,Large (100 customers),100,18.5,15,16.51960784,11,18,29,33,16
c104_21,Test,C,C1,Large (100 customers),100,16.58,14,14.94117647,10,18,17,24,15
c106_21,Test,C,C1,Large (100 customers),100,18.08,15,16.25294118,11,18,21,36,15
c108_21,Test,C,C1,Large (100 customers),100,15.82,14,14.96078431,10,15,19,29,14
c201_21,Test,C,C2,Large (100 customers),100,7.18,6,7.901960784,4,7,16,29,6
c203_21,Test,C,C2,Large (100 customers),100,7.6,8,7.882352941,4,7,11,20,7
c205_21,Test,C,C2,Large (100 customers),100,5.68,5,5.880392157,4,7,11,19,4
c207_21,Test,C,C2,Large (100 customers),100,6.34,5,5.625490196,4,7,10,14,6
r102_21,Test,R,R1,Large (100 customers),100,28.24,25,25.71960784,16,25,36,43,28
r104_21,Test,R,R1,Large (100 customers),100,19.7,18,18.72352941,11,22,22,27,18
r106_21,Test,R,R1,Large (100 customers),100,23.98,23,22.71568627,13,24,27,37,24
r108_21,Test,R,R1,Large (100 customers),100,17.64,17,17.39803922,11,20,19,26,19
r110_21,Test,R,R1,Large (100 customers),100,17.78,17,17.43921569,11,20,21,28,18
r112_21,Test,R,R1,Large (100 customers),100,15.78,15,15.93333333,11,20,17,23,18
r202_21,Test,R,R2,Large (100 customers),100,6.28,4,4.480392157,3,8,13,17,6
r204_21,Test,R,R2,Large (100 customers),100,4.52,3,3.519607843,2,7,8,12,4
r206_21,Test,R,R2,Large (100 customers),100,4.72,4,3.739215686,3,7,8,13,4
r208_21,Test,R,R2,Large (100 customers),100,3.86,3,3.137254902,2,5,6,10,4
r210_21,Test,R,R2,Large (100 customers),100,4.92,4,3.982352941,3,6,7,12,5
rc102_21,Test,RC,RC1,Large (100 customers),100,24.7,24,22.84705882,15,25,29,35,23
rc104_21,Test,RC,RC1,Large (100 customers),100,18.44,17,17.42745098,11,20,19,25,19
rc106_21,Test,RC,RC1,Large (100 customers),100,21.04,19,19.91960784,13,23,22,32,21
rc108_21,Test,RC,RC1,Large (100 customers),100,16.98,16,16.70588235,11,21,17,23,17
rc202_21,Test,RC,RC2,Large (100 customers),100,7.16,5,5.517647059,3,8,14,20,6
rc204_21,Test,RC,RC2,Large (100 customers),100,5.32,4,4.231372549,3,6,11,12,6
rc206_21,Test,RC,RC2,Large (100 customers),100,5.64,4,4.468627451,3,6,8,15,4
rc208_21,Test,RC,RC2,Large (100 customers),100,4.26,3,3.449019608,3,7,5,9,4
,,,,,Total,393.76000000000005,350,366.1921568420001,239,422,503,681,377
