"Figure 17. Comparison for the 56 large Schneider instances. External constructive results are taken from [11]; the optimisation results are from [4, 5, 7, 6, 8]",Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,,,,,,,,,,,,,,,,,
Instance,Split,Class,Subtype,Scale,Customers,Best Ensemble,Avg. Ensemble,VNS/TS,BKS,ALNS-GS,HGA,ALNS-KC,Flexi-VNS,EDD,NN (PEGA-EV),RS,PEGA-EV
c101_21,Training,C,C1,Large (100 customers),100,16,17.4156862745098,12,12,12,12,12,12,18,27,40,15
c102_21,Test,C,C1,Large (100 customers),100,15,16.5196078431372,11,11,11,11,11,11,18,29,33,17
c103_21,Training,C,C1,Large (100 customers),100,14,15.8725490196078,10,10,10,10,11,10,18,25,27,15
c104_21,Test,C,C1,Large (100 customers),100,14,14.9411764705882,10,10,10,10,10,10,18,17,24,15
c105_21,Training,C,C1,Large (100 customers),100,16,16.5431372549019,11,11,11,11,11,11,16,23,38,13
c106_21,Test,C,C1,Large (100 customers),100,15,16.2529411764705,11,11,11,11,11,11,18,21,36,7
c107_21,Training,C,C1,Large (100 customers),100,14,15.3470588235294,11,11,11,11,11,11,14,22,35,6
c108_21,Test,C,C1,Large (100 customers),100,14,14.9607843137254,10,10,10,11,11,11,15,19,29,5
c109_21,Training,C,C1,Large (100 customers),100,12,13.4019607843137,10,10,10,10,10,10,17,17,25,5
c201_21,Test,C,C2,Large (100 customers),100,6,7.90196078431372,4,4,4,4,4,4,7,16,29,29
c202_21,Training,C,C2,Large (100 customers),100,5,6.52745098039215,4,4,4,4,4,4,7,14,23,23
c203_21,Test,C,C2,Large (100 customers),100,8,7.88235294117647,4,4,4,4,4,4,7,11,20,23
c204_21,Training,C,C2,Large (100 customers),100,4,5.38039215686274,4,4,4,4,4,4,8,9,12,21
c205_21,Test,C,C2,Large (100 customers),100,5,5.88039215686274,4,4,4,4,4,4,7,11,19,20
c206_21,Training,C,C2,Large (100 customers),100,4,4.92156862745098,4,4,4,4,4,4,7,10,17,19
c207_21,Test,C,C2,Large (100 customers),100,5,5.62549019607843,4,4,4,4,4,4,7,10,14,7
c208_21,Training,C,C2,Large (100 customers),100,4,4.73333333333333,4,4,4,4,4,4,5,9,15,5
r101_21,Training,R,R1,Large (100 customers),100,26,28.8176470588235,18,18,18,18,18,18,29,42,44,4
r102_21,Test,R,R1,Large (100 customers),100,25,25.7196078431372,16,16,16,16,16,16,25,36,43,4
r103_21,Training,R,R1,Large (100 customers),100,19,21.2,13,13,13,13,13,13,25,31,36,4
r104_21,Test,R,R1,Large (100 customers),100,18,18.7235294117647,11,11,11,11,12,11,22,22,27,3
r105_21,Training,R,R1,Large (100 customers),100,24,25.4490196078431,14,14,14,15,15,14,24,32,38,26
r106_21,Test,R,R1,Large (100 customers),100,23,22.7156862745098,13,13,13,14,14,13,24,27,37,21
r107_21,Training,R,R1,Large (100 customers),100,19,18.6529411764705,12,12,12,12,12,12,24,26,33,22
r108_21,Test,R,R1,Large (100 customers),100,17,17.3980392156862,11,11,11,11,11,11,20,19,26,21
r109_21,Training,R,R1,Large (100 customers),100,18,19.5294117647058,12,12,12,13,13,12,21,23,31,7
r110_21,Test,R,R1,Large (100 customers),100,17,17.4392156862745,11,11,11,12,12,11,20,21,28,5
