Figure 6 (bottom-left). Boxplot training energy. The results obtained regarding the energy on the training set.,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,,,,,,,,,,,,,,,,,,
GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum,MGA  3  Vote ,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum ,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum,SEC  7  Vote
52451.5939724076,53246.4548846428,53830.6186415478,53373.9990541497,52867.9973284502,52786.5802892526,52456.6904958862,52391.4296500542,53222.41586001,52785.1913631929,52773.9637042995,52882.9314749377,52937.0450845156,53246.4548846428,53830.6186415478,53609.817025501,53830.6186415478,53536.9161231055,53857.6620732401
53003.9957306112,53246.4548846428,53830.6186415478,53247.4606156409,53449.0989682285,53246.7855324722,52908.8321411448,53006.4617137255,53257.2230905296,53034.8742510837,52005.9321512819,52683.8174938135,52824.8399043767,53361.8989040149,53830.6186415478,53246.4548846428,52943.3561837137,53470.5989549109,53183.0244275635
52992.3205937068,53246.4548846428,53830.6186415478,53373.9990541497,52553.2058105385,53139.038045445,52254.5811281507,52677.1919594155,52625.4295520108,53055.201941077,52545.0078386596,53183.9019913146,52665.2361055445,53361.8989040149,53830.6186415478,53740.109739265,53830.6186415478,53503.1109759582,52828.6514077911
56750.9794772939,53246.4548846428,53830.6186415478,53247.4606156409,52553.2058105385,53246.7855324722,52798.3666797202,52837.8451740686,52735.7531409454,52782.8931081245,52808.8759504844,53247.4606156409,52347.3713415083,53246.4548846428,53830.6186415478,53191.938826562,53074.6291332053,53740.109739265,53830.6186415478
54075.1370109551,53246.4548846428,53830.6186415478,53373.9990541497,52867.9973284502,53355.8735257034,52525.865089107,52833.2914394025,52868.3951645497,53197.8435624138,52820.5685805132,52222.8936484695,52366.3628959802,53721.9842108187,53830.6186415478,53255.3961148456,53830.6186415478,53361.8989040149,52408.0828795218
53055.5910350023,53246.4548846428,53830.6186415478,53373.9990541497,53488.4186684955,53293.5009414824,52254.5811281507,52956.8154297201,53283.4411648082,53024.4092000088,52374.5250077357,53358.0592364994,52870.3732384464,53246.4548846428,53830.6186415478,52788.3975265921,53100.8412892231,53521.5250320714,53457.7699918668
65351.7997650637,53246.4548846428,53830.6186415478,53373.9990541497,52263.9272411428,53355.8735257034,52594.0049709972,52790.4500072544,53387.9309120782,52782.6238190657,53089.4814664147,53055.117172976,52714.1740379477,53361.8989040149,53830.6186415478,53253.7780711268,52719.7778627372,53302.7496847248,53435.5404858019
55854.0090021675,53246.4548846428,53830.6186415478,53247.4606156409,53033.3715338656,53229.3350871946,52869.9139341695,52892.8206841234,52944.5647699029,52856.453541816,52099.5008101909,53124.6376043381,52637.7198632646,53246.4548846428,53830.6186415478,53740.109739265,52927.0557115424,53300.4779380947,53269.8346464335
65017.8353552505,53246.4548846428,53830.6186415478,53247.4606156409,52793.8050088559,53246.7855324722,52681.9176920302,53074.5545268924,52790.1148441583,52687.5449762092,52499.5912509137,52909.6417557131,52823.6761085587,53246.4548846428,53830.6186415478,53648.8240060678,53830.6186415478,53177.4161550317,52827.8631135559
54411.1439436846,53246.4548846428,53830.6186415478,53373.9990541497,52616.4883018185,53139.038045445,52306.6307753636,53107.9813443278,52916.3611439721,53037.8233812367,52620.8251920735,53124.5221934815,52959.7354017332,53246.4548846428,53830.6186415478,53740.109739265,53375.9179391757,53558.0533696708,52930.2957148832
