Figure 6 (top-left). Boxplot training vehicles. The results obtained regarding the number of vehicles on the training set.,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,,,,,,,,,,,,,,,,,,
GP,GA  3  Sum,GA  3  Vote,GA  5  Sum,GA  5  Vote,GA  7  Sum,GA  7  Vote,MGA  3  Sum ,MGA  3  Vote ,MGA  5  Sum ,MGA  5  Vote ,MGA  7  Sum ,MGA  7  Vote ,SEC  3  Sum,SEC  3  Vote,SEC  5  Sum,SEC  5  Vote,SEC  7  Sum,SEC  7  Vote
449,395,397,393,391,391,388,387,390,390,390,389,389,395,397,395,397,397,400
435,395,397,391,395,391,388,391,392,390,390,386,387,395,397,395,397,397,393
405,395,397,393,390,392,388,386,391,390,388,390,385,395,397,395,397,398,399
441,395,397,391,390,391,390,388,390,387,390,391,388,395,397,394,398,395,397
450,395,397,393,391,393,387,390,390,390,390,387,387,395,397,395,397,395,404
433,395,397,393,393,393,388,390,394,390,387,390,387,395,397,395,400,398,403
470,395,397,393,394,393,388,391,392,386,384,392,389,395,397,395,400,397,399
442,395,397,391,393,391,388,390,393,387,388,389,388,395,397,395,395,396,397
477,395,397,391,394,391,389,391,388,387,390,389,387,395,397,395,397,396,395
448,395,397,393,394,392,389,389,391,389,387,389,387,395,397,395,396,397,401
420,395,397,393,394,392,388,389,391,386,386,388,386,395,397,395,393,396,397
454,395,397,391,390,392,388,389,391,390,388,389,388,395,397,395,396,391,404
468,395,397,391,391,391,388,390,389,390,390,391,387,395,397,394,397,399,399
426,395,397,393,394,393,389,387,389,388,388,387,390,395,397,395,397,396,401
451,395,397,393,394,392,388,388,391,389,390,391,389,395,397,395,397,394,397
397,395,397,391,394,391,390,388,392,389,390,389,386,395,397,393,393,395,397
481,395,397,391,391,392,388,389,391,390,387,390,388,395,397,394,395,395,396
448,395,397,391,391,392,388,388,390,388,385,388,387,395,397,395,397,395,397
454,395,397,391,391,391,388,390,392,389,386,392,387,395,397,393,395,395,399
477,395,397,393,393,392,388,392,390,389,389,389,388,395,397,395,397,397,397
431,395,397,393,390,392,388,390,391,389,388,390,390,395,397,395,397,396,399
431,395,397,393,392,391,389,390,388,390,389,391,388,395,397,395,396,397,398
432,395,397,391,390,391,388,390,392,390,389,391,385,395,397,395,397,399,402
456,395,397,391,391,392,388,390,387,388,388,387,387,395,397,395,397,397,403
420,395,397,393,394,391,388,387,391,388,388,391,390,395,397,395,397,398,399
473,395,397,393,390,391,387,390,393,390,386,389,386,395,397,395,395,398,404
437,395,397,393,390,391,388,392,387,391,384,392,386,395,397,395,397,395,400
468,395,397,393,394,391,388,390,389,388,387,390,386,395,397,395,396,397,398
441,395,397,393,394,392,387,391,392,390,389,389,387,395,397,395,394,398,397
444,395,397,391,391,392,388,388,391,390,388,391,385,395,397,395,393,396,398
420,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,
